x, y, ID
 7.5, 0.0, 1
13.0, 0.0, 2
21.0, 0.0, 3
 7.5, 5.0, 4
13.0, 5.0, 5
21.0, 5.0, 6
25.0, 0.0, 7
25.0, 5.0, 8
25.0,10.0, 9
13.0, 0.0, 10
21.0, 0.0, 11
21.0,-5.0, 12 
