"Data from table 4 in Ma et al (2019), which is reporting results from Liu et al. (1995)",,,,
"The R_on_A variable gives the runup height around the island divided by the offshore wave amplitude (A = 0.016m in this case)",,,,
"Angle","observed_R_on_A","Liu95_model_R_on_A","observed_R","Liu95_model_R"
0,2.6,2.7,0.0416,0.0432
22.5,2.58,2.39,0.04128,0.03824
45,2.52,2.52,0.04032,0.04032
67.5,2.15,2.15,0.0344,0.0344
90,1.98,1.81,0.03168,0.02896
112.5,1.59,1.59,0.02544,0.02544
135,1.53,1.53,0.02448,0.02448
157.5,1.25,1.08,0.02,0.01728
180,2,2.1,0.032,0.0336
