"x","y"
151.156070156789,-23.7734926712628
151.156338411901,-23.7704466239964
151.156541918074,-23.7694869890839
151.157170204752,-23.7680268629745
151.157718220943,-23.7672461411725
151.158281782471,-23.7666581856465
151.159128698829,-23.7658793250676
151.160436882131,-23.7651307115014
151.164486200967,-23.7639132692373
151.164758424081,-23.7643216039097
151.162282864673,-23.7677110773874
151.159095074233,-23.7679980560888
151.158455706187,-23.7755914208434
151.157415961731,-23.7791502019221
151.155537528021,-23.7801964030871
151.155684320249,-23.7777285923217
151.156070156789,-23.7734926712628
