x,Curve0
5.0002,0.000799
5.4308,-1.7e-05
5.8847,-0.000666
6.2923,-0.000317
6.6657,0.003028
7.0149,0.002542
7.3876,0.002889
7.9939,0.006743
8.484,0.011259
8.9977,0.017274
9.3835,0.023951
9.7109,0.029793
9.9455,0.037463
10.297,0.046804
10.4387,0.055137
10.7897,0.062645
10.85,0.071642
11.1551,0.081813
11.414,0.093649
11.627,0.108147
11.8395,0.120647
11.9469,0.131977
12.1591,0.143144
12.3717,0.155977
12.5137,0.165976
12.7488,0.175478
12.9021,0.183978
13.114,0.193647
13.3828,0.19832
13.6392,0.199163
13.9762,0.196511
14.1613,0.191188
14.3229,0.185198
14.3914,0.179538
14.4945,0.172047
14.6329,0.166223
14.7241,0.157899
14.8737,0.150409
14.9884,0.143252
15.0682,0.135593
15.2176,0.127438
15.3091,0.120279
15.424,0.113621
15.5502,0.105465
15.6416,0.09814
15.8262,0.090985
15.9522,0.081829
16.1133,0.073674
16.2049,0.066849
16.4013,0.060361
16.5976,0.053373
16.8059,0.047884
16.9442,0.041727
17.164,0.035906
17.2792,0.030248
17.464,0.024092
17.7191,0.019438
18.0448,0.017952
18.2537,0.014962
18.4273,0.010638
18.636,0.006815
18.8683,0.004325
19.1476,0.003836
19.4383,0.002182
19.7869,-0.000803
20.1824,-0.002453
20.4732,-0.003608
20.7759,-0.00393
21.1368,-0.003916
21.5443,-0.0039
21.917,-0.003553
22.3129,-0.003538
22.6506,-0.003192
23.0118,-0.002179
23.4543,-0.001829
23.9785,-0.00081
24.4912,0.000875
24.9691,0.003059
25.3066,0.002405
25.6792,0.002419
26.1452,0.003437
26.5875,0.002787
27.0184,0.003137
27.3792,0.002817
27.9032,0.002837
28.3572,0.002521
28.9625,0.001878
29.4047,0.000896
29.7655,0.000243
30.2079,-7.3e-05
30.7203,0.000113
31.2676,0.000467
31.7566,0.000319
32.2574,0.001004
32.735,0.002022
33.2009,0.002872
33.6899,0.002558
34.0738,0.00124
34.4575,-0.001077
34.8066,-0.002063
35.4007,-0.000708
35.9597,-2.1e-05
36.4137,-0.00067
36.9145,0.000182
37.4271,0.001201
37.9396,0.002053
38.3705,0.002403
38.9295,0.00309
39.4067,0.002109
39.8374,0.001793
40.3614,0.001813
40.7691,0.002827
41.1298,0.001509
41.467,-0.000311
41.8046,-0.000464
42.2936,-0.000612
42.8061,7.4e-05
43.237,0.000423
43.6101,0.002602
43.9826,0.002284
44.3669,0.002631
44.6696,0.002643
44.8909,0.002984
