"lonc","latc","depthc","length","width","strike","rake","slip"
95.5951747756887,2.38248791167583,11.6824088833465,100,100,315,95,6.05
96.2251735342601,3.01247541224066,28.6824088833465,100,100,315,95,15.39
94.8951734894527,3.0324750026142,11.6824088833465,100,100,315,95,9.67
95.5951719904023,3.6324623467645,28.6824088833465,100,100,315,95,6.87
94.2049212504704,3.82407352172295,11.6824088833465,100,100,325,100,24.54
94.9349847321627,4.33406411374628,28.6824088833465,100,100,325,100,23.02
93.658966421472,4.61271736253931,11.6824088833465,100,100,330,105,16.44
94.4290658400901,5.05270930242298,28.6824088833465,100,100,330,105,0.33
93.263178470219,5.47614957839891,11.6824088833465,100,100,340,105,6.73
94.0633569286478,5.8761426260024,28.6824088833465,100,100,340,105,2.63
92.9635794221564,6.38667650445665,11.6824088833465,100,100,342,100,2.88
93.7837637030854,6.71667017720449,28.6824088833465,100,100,342,100,0.06
92.6440969340918,7.29611463968832,11.6824088833465,100,100,340,95,5.79
93.484274678495,7.5961080703142,28.6824088833465,100,100,340,95,11.3
92.313992795142,8.22895695634256,11.6824088833465,100,100,337,85,7.71
93.134206740007,8.58894795915083,28.6824088833465,100,100,337,85,1.89
92.0021287032855,9.12201207941609,11.6824088833465,100,100,350,99,2.35
91.9592295094781,10.0520524817377,11.6824088833465,100,100,0,106,3.54
92.0033989515803,11.0283349470206,11.6824088833465,100,100,10,115,2.28
92.1550808641433,11.9283070121913,11.6824088833465,100,100,10,115,4.84
92.3376674131557,12.832052886233,11.6824088833465,100,100,15,120,0
92.6185442795936,13.7325719521905,11.6824088833465,100,100,25,130,6.22
