"x","y"
113.628986068816,-24.8812477853465
113.627679589116,-24.8801250293543
113.627679589116,-24.8801250293543
113.628332828966,-24.8801250293543
113.628855420846,-24.8799943813844
113.632154282089,-24.8789165356319
113.630586506449,-24.8764342242019
113.630374203497,-24.8730047149895
113.631239746299,-24.8723678061358
113.636449334102,-24.8716900697914
113.638572363615,-24.8716900697914
113.641283308992,-24.8721473376864
113.645692677979,-24.8726046055814
113.648077003432,-24.8725066196039
113.651179892719,-24.8718533797539
113.655654585692,-24.8718533797539
113.652812992344,-24.8753482129513
113.647685059522,-24.8739927402626
113.643275690535,-24.8739437472739
113.642214175778,-24.8757238258651
113.642679609171,-24.8801413603506
113.642532630205,-24.882003093923
113.64177323888,-24.883962813473
113.641168992018,-24.884293516147
113.639993160288,-24.8828972159677
113.639339920438,-24.8844976536002
113.639209272468,-24.8863593871726
113.637012753473,-24.8870534545132
113.636449334102,-24.8879843212994
113.635224509383,-24.8877965148426
113.631558200725,-24.8839750617202
113.630137404052,-24.8826930785146
113.629247364756,-24.8820398386646
113.628986068816,-24.8812477853465
