# Coordinates of tidal gauges from Lorito et al (2010)
Station, Latitude, Longitude
Krabi, 08.05, 98.92
Tarutao, 06.70, 99.65
Ranong, 09.95, 98.58
TaPao, 07.77, 98.42
Sibolga, 01.75, 98.77
DiegoGarcia, 07.28, 72.40
Gan, 00.68, 73.15
Male, 04.18, 73.52
Hanimaadhoo, 06.76, 73.17
Visakhapatnam, 17.68, 83.28
Paradip, 20.26, 86.70
Chennai, 13.10, 80.30
Tuticorin, 08.80, 78.15
