"lon","lat","z"
153.350747472623,-29.4252035553738,0.1
153.350721243309,-29.4251892627536,0.1
153.350695013995,-29.4251749701333,0.1
153.350668784681,-29.4251606775131,0.1
153.350642555367,-29.4251463848928,0.1
153.350616326053,-29.4251320922725,0.1
153.350590096739,-29.4251177996523,0.1
153.350563867425,-29.425103507032,0.1
153.350537638111,-29.4250892144118,0.1
153.350511408797,-29.4250749217915,0.1
153.350485179483,-29.4250606291713,0.1
153.350458950168,-29.425046336551,0.1
153.350432720854,-29.4250320439308,0.1
153.35040649154,-29.4250177513105,0.1
153.350380262226,-29.4250034586902,0.1
153.350354032912,-29.42498916607,0.1
153.350327803598,-29.4249748734497,0.1
153.350301574284,-29.4249605808295,0.1
153.35027534497,-29.4249462882092,0.1
153.350249115656,-29.424931995589,0.1
153.350222886342,-29.4249177029687,0.1
153.350196657028,-29.4249034103485,0.1
153.350170427713,-29.4248891177282,0.1
153.350144198399,-29.424874825108,0.1
153.350117969085,-29.4248605324877,0.1
153.350091739771,-29.4248462398674,0.1
153.350065510457,-29.4248319472472,0.1
153.350039281143,-29.4248176546269,0.1
153.350013051829,-29.4248033620067,0.1
153.349986822515,-29.4247890693864,0.1
153.349960593201,-29.4247747767662,0.1
153.349934363887,-29.4247604841459,0.1
153.349908134572,-29.4247461915257,0.1
153.349881905258,-29.4247318989054,0.1
153.349855675944,-29.4247176062852,0.1
153.349830732715,-29.4247016665633,0.1
153.349805995729,-29.4246854627028,0.1
153.349781258743,-29.4246692588423,0.1
153.349756521757,-29.4246530549818,0.1
153.349731784771,-29.4246368511213,0.1
153.349707047785,-29.4246206472608,0.1
153.349682310799,-29.4246044434003,0.1
153.349657573813,-29.4245882395398,0.1
153.349632836827,-29.4245720356793,0.1
153.349608099841,-29.4245558318188,0.1
153.349583362855,-29.4245396279583,0.1
153.349558625869,-29.4245234240978,0.1
153.349533888884,-29.4245072202373,0.1
153.349509151898,-29.4244910163768,0.1
153.349484414912,-29.4244748125163,0.1
153.349459677926,-29.4244586086558,0.1
153.34943494094,-29.4244424047953,0.1
153.349410203954,-29.4244262009348,0.1
153.349385466968,-29.4244099970743,0.1
153.349360729982,-29.4243937932138,0.1
153.349335992996,-29.4243775893533,0.1
153.34931125601,-29.4243613854928,0.1
153.349286519024,-29.4243451816323,0.1
153.349261782038,-29.4243289777718,0.1
153.349237045053,-29.4243127739113,0.1
153.349212308067,-29.4242965700508,0.1
153.349187571081,-29.4242803661903,0.1
153.349162834095,-29.4242641623298,0.1
153.349138097109,-29.4242479584693,0.1
153.349113360123,-29.4242317546088,0.1
153.349088623137,-29.4242155507483,0.1
153.349063886151,-29.4241993468878,0.1
153.349039149165,-29.4241831430273,0.1
153.349014412179,-29.4241669391668,0.1
153.348989675193,-29.4241507353063,0.1
153.348964938208,-29.4241345314458,0.1
153.348940201222,-29.4241183275853,0.1
153.348915464236,-29.4241021237248,0.1
153.34889072725,-29.4240859198643,0.1
153.348865990264,-29.4240697160038,0.1
153.348841253278,-29.4240535121433,0.1
153.348816516292,-29.4240373082828,0.1
153.348791779306,-29.4240211044223,0.1
153.34876704232,-29.4240049005618,0.1
153.348742305334,-29.4239886967013,0.1
153.348717568348,-29.4239724928408,0.1
153.348692831362,-29.4239562889803,0.1
153.348668094377,-29.4239400851198,0.1
153.348643357391,-29.4239238812593,0.1
153.348618620405,-29.4239076773988,0.1
153.348593883419,-29.4238914735383,0.1
153.348569146433,-29.4238752696778,0.1
153.348544409447,-29.4238590658173,0.1
153.348519672461,-29.4238428619568,0.1
153.348494935475,-29.4238266580963,0.1
153.348470198489,-29.4238104542358,0.1
153.348445461503,-29.4237942503753,0.1
153.348420724517,-29.4237780465148,0.1
153.348395987531,-29.4237618426544,0.1
153.348373099506,-29.4237437197369,0.1
153.348350683261,-29.4237251071532,0.1
153.348328267015,-29.4237064945695,0.1
153.34830585077,-29.4236878819857,0.1
153.348283434525,-29.423669269402,0.1
153.34826101828,-29.4236506568183,0.1
153.348238602034,-29.4236320442346,0.1
153.348216185789,-29.4236134316509,0.1
153.348193769544,-29.4235948190671,0.1
153.348171353299,-29.4235762064834,0.1
153.348148937053,-29.4235575938997,0.1
153.348126520808,-29.423538981316,0.1
153.348104104563,-29.4235203687323,0.1
153.348081688318,-29.4235017561485,0.1
153.348059272072,-29.4234831435648,0.1
153.348036855827,-29.4234645309811,0.1
153.348014439582,-29.4234459183974,0.1
153.347992023337,-29.4234273058137,0.1
153.347969607091,-29.4234086932299,0.1
153.347947190846,-29.4233900806462,0.1
153.347924774601,-29.4233714680625,0.1
153.347902358356,-29.4233528554788,0.1
153.34787994211,-29.4233342428951,0.1
153.347857525865,-29.4233156303113,0.1
153.34783510962,-29.4232970177276,0.1
153.347812693375,-29.4232784051439,0.1
153.347790277129,-29.4232597925602,0.1
153.347767860884,-29.4232411799765,0.1
153.347745444639,-29.4232225673927,0.1
153.347723028394,-29.423203954809,0.1
153.347700612148,-29.4231853422253,0.1
153.347678195903,-29.4231667296416,0.1
153.347655779658,-29.4231481170579,0.1
153.347633363413,-29.4231295044741,0.1
153.347610947168,-29.4231108918904,0.1
153.347588530922,-29.4230922793067,0.1
153.347566114677,-29.423073666723,0.1
153.347543698432,-29.4230550541393,0.1
153.347521282187,-29.4230364415555,0.1
153.347498865941,-29.4230178289718,0.1
153.347476449696,-29.4229992163881,0.1
153.347454033451,-29.4229806038044,0.1
153.347431617206,-29.4229619912207,0.1
153.34740920096,-29.4229433786369,0.1
153.347386784715,-29.4229247660532,0.1
