"time (s)","x-vel (m)"
0,0.00557531771182421
0.01,0.00602630712004187
0.02,0.00691009068198527
0.03,0.00779387424392866
0.04,0.00867765780587206
0.05,0.00956144136781546
0.06,0.00976140300054343
0.07,0.00939665809333439
0.08,0.00903191318612536
0.09,0.00866716827891632
0.1,0.00811114921356216
0.11,0.00753537162007739
0.12,0.00695959402659262
0.13,0.00689198090606216
0.14,0.00745483244455381
0.15,0.00801768398304547
0.16,0.00858053552153712
0.17,0.00914338706002877
0.18,0.00830498530960637
0.19,0.00694015151071547
0.2,0.00557531771182457
0.21,0.00594593001467219
0.22,0.00673017891165492
0.23,0.00751442780863765
0.24,0.00829867670562037
0.25,0.0090829256026031
0.26,0.00917074629920121
0.27,0.00899692827063768
0.28,0.00882311024207414
0.29,0.00864929221351061
0.3,0.00811114921356212
0.31,0.00753537162007735
0.32,0.00695959402659258
0.33,0.00689198090606218
0.34,0.00745483244455379
0.35,0.0080176839830454
0.36,0.00858053552153701
0.37,0.00914338706002862
0.38,0.00830498530960663
0.39,0.00694015151071557
0.4,0.0055753177118245
0.41,0.00594593001467225
0.42,0.00673017891165497
0.43,0.0075144278086377
0.44,0.00829867670562043
0.45,0.00908292560260316
0.46,0.0091707462992012
0.47,0.00899692827063766
0.48,0.00882311024207413
0.49,0.0086492922135106
0.5,0.00811114921356213
0.51,0.00753537162007742
0.52,0.00695959402659271
0.53,0.00689198090606204
0.54,0.00745483244455369
0.55,0.00801768398304535
0.56,0.008580535521537
0.57,0.00914338706002866
0.58,0.00830498530960654
0.59,0.00694015151071548
0.6,0.00557531771182441
0.61,0.0059459300146723
0.62,0.00673017891165503
0.63,0.00751442780863776
0.64,0.00829867670562049
0.65,0.00908292560260321
0.66,0.0091707462992012
0.67,0.00899692827063768
0.68,0.00882311024207416
0.69,0.00864929221351064
0.7,0.00811114921356224
0.71,0.00753537162007747
0.72,0.0069595940265927
0.73,0.00694329325551342
0.74,0.00762111886052296
0.75,0.0082989444655325
0.76,0.00897677007054203
0.77,0.00965459567555157
0.78,0.0090320288895873
0.79,0.00733558591408724
0.8,0.00563914293858719
0.81,0.00594593001467236
0.82,0.00673017891165509
0.83,0.00751442780863782
0.84,0.00829867670562054
0.85,0.00908292560260327
0.86,0.00929709632089504
0.87,0.00929709632089504
0.88,0.00929709632089504
0.89,0.00929709632089504
0.9,0.00870851760860242
0.91,0.00789881777591789
0.92,0.00708911794323336
0.93,0.00694329325551347
0.94,0.00762111886052301
0.95,0.00829894446553255
0.96,0.00897677007054208
0.97,0.00965459567555161
0.98,0.00921404569611764
0.99,0.00784993070705426
1,0.00648581571799088
1.01,0.00646840751436785
1.02,0.00725289394361446
1.03,0.00803738037286106
1.04,0.00882186680210766
1.05,0.00960635323135426
1.06,0.00986598044659232
1.07,0.00969217401772823
1.08,0.00951836758886414
1.09,0.00934456116000006
1.1,0.00887865088461181
1.11,0.00830300111565168
1.12,0.00772735134669156
1.13,0.0074852536005795
1.14,0.00816325605141684
1.15,0.00884125850225417
1.16,0.0095192609530915
1.17,0.0101972634039288
1.18,0.0100000998175528
1.19,0.00830476601765308
1.2,0.00660943221775336
1.21,0.00646840751436766
1.22,0.00725289394361432
1.23,0.00803738037286097
1.24,0.00882186680210763
1.25,0.00960635323135429
1.26,0.00996117462953039
1.27,0.00996117462953039
1.28,0.00996117462953039
1.29,0.00996117462953039
1.3,0.00964595974478632
1.31,0.00907043746231871
1.32,0.0084949151798511
1.33,0.0080273242432156
1.34,0.0087055032427474
1.35,0.00938368224227921
1.36,0.010061861241811
1.37,0.0107400402413428
1.38,0.0109673429303004
1.39,0.00927311441883109
1.4,0.00757888590736181
1.41,0.0070354800205963
1.42,0.00791986578849129
1.43,0.00880425155638628
1.44,0.00968863732428127
1.45,0.0105730230921763
1.46,0.0112893312468011
1.47,0.0112893312468011
1.48,0.0112893312468011
1.49,0.0112893312468011
1.5,0.0111355912524806
1.51,0.0103266467399552
1.52,0.00951770222742984
1.53,0.00870875771490445
1.54,0.00924786034774586
1.55,0.00992621559945355
1.56,0.0106045708511612
1.57,0.0112829261028689
1.58,0.0119376048951756
1.59,0.0105756323526122
1.6,0.00921365981004872
1.61,0.00804512830354227
1.62,0.00893011444593301
1.63,0.00981510058832375
1.64,0.0107000867307145
1.65,0.0115850728731052
1.66,0.012470059015496
1.67,0.0124726740977648
1.68,0.0122989137980784
1.69,0.0121251534983921
1.7,0.0119491787386152
1.71,0.0115845865077059
1.72,0.0112199942767967
1.73,0.0108554020458874
1.74,0.0108755902746354
1.75,0.0115544725098837
1.76,0.0122333547451319
1.77,0.0129122369803801
1.78,0.0135911192156284
1.79,0.0131382684045769
1.8,0.0114484225644583
1.81,0.00975857672433975
1.82,0.0100087432980398
1.83,0.010987746490459
1.84,0.0119667496828782
1.85,0.0129457528752974
1.86,0.0139247560677165
1.87,0.0145575454576003
1.88,0.0143838194740781
1.89,0.0142100934905559
1.9,0.0140363675070337
1.91,0.0137715216810525
1.92,0.0134070809969556
1.93,0.0130426403128587
1.94,0.0126781996287617
1.95,0.0133567844719697
1.96,0.0142438575964481
1.97,0.0151309307209265
1.98,0.0160180038454048
1.99,0.0169050769698832
2,0.0162670042468085
2.01,0.0145825515942251
2.02,0.0128980989416419
2.03,0.0133567844719698
2.04,0.0142438575964481
2.05,0.0151309307209264
2.06,0.0160180038454048
2.07,0.0169050769698831
2.08,0.0173603463928261
2.09,0.0175193617050561
2.1,0.0176783770172861
2.11,0.0178373923295162
2.12,0.0177783043790267
2.13,0.0174141634458288
2.14,0.0170500225126308
2.15,0.0166858815794328
2.16,0.0172085281443753
2.17,0.0179967639294316
2.18,0.0187849997144881
2.19,0.0195732354995445
2.2,0.0203614712846009
2.21,0.0196196168886559
2.22,0.018266692147136
2.23,0.0169137674056162
2.24,0.0172859493956395
2.25,0.0181747937793087
2.26,0.0190636381629779
2.27,0.0199524825466471
2.28,0.0208413269303163
2.29,0.021488183314982
2.3,0.0219286116633379
2.31,0.0223690400116937
2.32,0.0228094683600496
2.33,0.0232368307670523
2.34,0.0228730827001645
2.35,0.0225093346332766
2.36,0.0221455865663888
2.37,0.0222398105178976
