"llx","lly","urx","ury","min_elev_coarse_dem","max_elev_coarse_dem","coarsen","reduce_theta"
104,-12,105,-11,-5804,-1116,0,0
105,-12,106,-11,-5921,-1243,0,0
106,-12,107,-11,-6291,-1881,0,0
104,-11,105,-10,-5831,-1454,0,0
105,-11,106,-10,-6002,302,0,0
106,-11,107,-10,-6706,-1125,0,0
104,-10,105,-9,-6345,-4200,0,0
105,-10,106,-9,-6997,-3594,0,0
106,-10,107,-9,-6997,-2072,0,0
95,-13,96,-12,-5428,-231,0,0
96,-13,97,-12,-5297,10,0,0
97,-13,98,-12,-5680,10,0,0
95,-12,96,-11,-5800,-3501,0,0
96,-12,97,-11,-5466,10,0,0
97,-12,98,-11,-5523,10,0,0
62,-21,63,-20,-4668,-2,0,0
63,-21,64,-20,-4437,17,0,0
62,-20,63,-19,-4430,-2,0,0
63,-20,64,-19,-3931,310,0,0
