"llx","lly","urx","ury","min_elev_coarse_dem","max_elev_coarse_dem","coarsen","reduce_theta"
114.555555555556,-28.8888888888889,114.666666666667,-28.7777777777778,-32,63,0,0
114.555555555556,-28.7777777777778,114.666666666667,-28.6666666666667,-30,210,0,0
114.111111111111,-27.7777777777778,114.222222222222,-27.6666666666667,-41,160,0,0
114.111111111111,-27.6666666666667,114.222222222222,-27.5555555555556,-38,177,0,0
114.222222222222,-27.6666666666667,114.333333333333,-27.5555555555556,12,199,0,0
113.111111111111,-26.2222222222222,113.222222222222,-26.1111111111111,-111,87,0,0
113.555555555556,-25,113.666666666667,-24.8888888888889,-13,12,0,1
113.666666666667,-25,113.777777777778,-24.8888888888889,-2,37,0,1
113.555555555556,-24.8888888888889,113.666666666667,-24.7777777777778,-11,14,0,1
113.666666666667,-24.8888888888889,113.777777777778,-24.7777777777778,0,37,0,1
113.666666666667,-23.2222222222222,113.777777777778,-23.1111111111111,-72,24,0,0
113.777777777778,-23.2222222222222,113.888888888889,-23.1111111111111,-12,64,0,0
113.666666666667,-23.1111111111111,113.777777777778,-23,-77,24,0,0
113.777777777778,-23.1111111111111,113.888888888889,-23,-37,67,0,0
113.444444444444,-26,113.555555555556,-25.8888888888889,-9,41,0,0
114.333333333333,-28.4444444444444,114.444444444444,-28.3333333333333,-39,115,0,0
114.222222222222,-28.2222222222222,114.333333333333,-28.1111111111111,-23,192,0,0
113.555555555556,-23.3333333333333,113.666666666667,-23.2222222222222,-76,-53,1,0
113.555555555556,-23.2222222222222,113.666666666667,-23.1111111111111,-99,-61,1,0
113.555555555556,-23.1111111111111,113.666666666667,-23,-99,-66,1,0
113.555555555556,-23,113.666666666667,-22.8888888888889,-97,-60,1,0
113.555555555556,-22.8888888888889,113.666666666667,-22.7777777777778,-90,-18,1,0
113.555555555556,-22.7777777777778,113.666666666667,-22.6666666666667,-188,19,1,0
113.555555555556,-22.6666666666667,113.666666666667,-22.5555555555556,-344,29,1,0
113.555555555556,-22.5555555555556,113.666666666667,-22.4444444444444,-640,29,1,0
113.666666666667,-22.3333333333333,113.777777777778,-22.2222222222222,-658,-15,1,0
113.777777777778,-22.3333333333333,113.888888888889,-22.2222222222222,-232,152,1,0
113.777777777778,-22.2222222222222,113.888888888889,-22.1111111111111,-435,145,1,0
113.888888888889,-22.2222222222222,114,-22.1111111111111,-22,308,1,0
113.777777777778,-22.1111111111111,113.888888888889,-22,-700,114,1,0
113.888888888889,-22.1111111111111,114,-22,-79,308,1,0
113.888888888889,-22,114,-21.8888888888889,-138,220,1,0
113.888888888889,-21.8888888888889,114,-21.7777777777778,-360,23,1,0
114.222222222222,-21.6666666666667,114.333333333333,-21.5555555555556,-183,0,1,0
114.333333333333,-21.6666666666667,114.444444444444,-21.5555555555556,-128,12,1,0
114.444444444444,-21.6666666666667,114.555555555556,-21.5555555555556,-93,0,1,0
114.555555555556,-21.6666666666667,114.666666666667,-21.5555555555556,-70,0,1,0
113.333333333333,-26.2222222222222,113.444444444444,-26.1111111111111,-1,36,0,0
113.333333333333,-26.1111111111111,113.444444444444,-26,-8,30,0,0
113.666666666667,-25.8888888888889,113.777777777778,-25.7777777777778,-7,42,0,0
