 % Project name: Seaside data
 % Measurement location: D1
 % time(sec)   H(m)       u(m/s)  M(m^3/s^2)
   0.02000    0.00001   -0.00269    0.00000
   0.04000    0.00003   -0.00138    0.00000
   0.06000    0.00001   -0.00443    0.00000
   0.08000   -0.00001   -0.00129    0.00000
   0.10000   -0.00005   -0.00186    0.00000
   0.12000   -0.00006   -0.00017    0.00000
   0.14000   -0.00006   -0.00312    0.00000
   0.16000   -0.00008   -0.00412    0.00000
   0.18000   -0.00007   -0.00279    0.00000
   0.20000   -0.00007   -0.00390    0.00000
   0.22000   -0.00004   -0.00324    0.00000
   0.24000   -0.00002   -0.00346    0.00000
   0.26000   -0.00003   -0.00437    0.00000
   0.28000   -0.00004   -0.00439    0.00000
   0.30000   -0.00003   -0.00231    0.00000
   0.32000   -0.00002   -0.00329    0.00000
   0.34000    0.00002   -0.00307    0.00000
   0.36000    0.00005   -0.00366    0.00000
   0.38000    0.00004   -0.00380    0.00000
   0.40000    0.00004   -0.00344    0.00000
   0.42000    0.00003   -0.00283    0.00000
   0.44000    0.00003   -0.00312    0.00000
   0.46000    0.00001   -0.00426    0.00000
   0.48000   -0.00002   -0.00107    0.00000
   0.50000   -0.00003   -0.00261    0.00000
   0.52000   -0.00001   -0.00215    0.00000
   0.54000    0.00001   -0.00288    0.00000
   0.56000    0.00004   -0.00486    0.00000
   0.58000    0.00003   -0.00190    0.00000
   0.60000    0.00000   -0.00267    0.00000
   0.62000   -0.00001   -0.00344    0.00000
   0.64000   -0.00001   -0.00129    0.00000
   0.66000    0.00000   -0.00351    0.00000
   0.68000   -0.00001   -0.00112    0.00000
   0.70000   -0.00001   -0.00293    0.00000
   0.72000    0.00000   -0.00052    0.00000
   0.74000    0.00001    0.00102    0.00000
   0.76000   -0.00000   -0.00140    0.00000
   0.78000   -0.00001   -0.00279    0.00000
   0.80000   -0.00001   -0.00344    0.00000
   0.82000    0.00001   -0.00102    0.00000
   0.84000    0.00002   -0.00412    0.00000
   0.86000    0.00002   -0.00424    0.00000
   0.88000    0.00001   -0.00241    0.00000
   0.90000    0.00003   -0.00286    0.00000
   0.92000    0.00005   -0.00356    0.00000
   0.94000    0.00006   -0.00226    0.00000
   0.96000    0.00004   -0.00210    0.00000
   0.98000    0.00001   -0.00124    0.00000
   1.00000   -0.00002   -0.00310    0.00000
   1.02000   -0.00003   -0.00177    0.00000
   1.04000   -0.00004   -0.00386    0.00000
   1.06000   -0.00004   -0.00186    0.00000
   1.08000   -0.00004   -0.00081    0.00000
   1.10000   -0.00004   -0.00362    0.00000
   1.12000   -0.00003   -0.00140    0.00000
   1.14000   -0.00004   -0.00429    0.00000
   1.16000   -0.00005   -0.00133    0.00000
   1.18000   -0.00004   -0.00300    0.00000
   1.20000   -0.00001   -0.00295    0.00000
   1.22000   -0.00001   -0.00183    0.00000
   1.24000   -0.00001   -0.00405    0.00000
   1.26000   -0.00003   -0.00264    0.00000
   1.28000   -0.00003   -0.00281    0.00000
   1.30000    0.00001   -0.00209    0.00000
   1.32000    0.00002   -0.00137    0.00000
   1.34000    0.00001   -0.00352    0.00000
   1.36000    0.00001   -0.00153    0.00000
   1.38000    0.00003   -0.00233    0.00000
   1.40000    0.00004   -0.00091    0.00000
   1.42000    0.00000   -0.00284    0.00000
   1.44000   -0.00003   -0.00257    0.00000
   1.46000   -0.00003   -0.00107    0.00000
   1.48000   -0.00000   -0.00336    0.00000
   1.50000    0.00001   -0.00212    0.00000
   1.52000    0.00001   -0.00186    0.00000
   1.54000    0.00002   -0.00038    0.00000
   1.56000    0.00003   -0.00461    0.00000
   1.58000    0.00002   -0.00309    0.00000
   1.60000   -0.00000   -0.00135    0.00000
   1.62000   -0.00001   -0.00181    0.00000
   1.64000    0.00002   -0.00417    0.00000
   1.66000    0.00002   -0.00219    0.00000
   1.68000    0.00001   -0.00055    0.00000
   1.70000    0.00000   -0.00205    0.00000
   1.72000   -0.00002   -0.00047    0.00000
   1.74000   -0.00005   -0.00158    0.00000
   1.76000   -0.00006   -0.00376    0.00000
   1.78000   -0.00007   -0.00334    0.00000
   1.80000   -0.00006   -0.00098    0.00000
   1.82000   -0.00005   -0.00370    0.00000
   1.84000   -0.00004   -0.00128    0.00000
   1.86000   -0.00003   -0.00023    0.00000
   1.88000   -0.00001   -0.00114    0.00000
   1.90000   -0.00002   -0.00347    0.00000
   1.92000    0.00000   -0.00228    0.00000
   1.94000   -0.00000   -0.00279    0.00000
   1.96000    0.00000   -0.00136    0.00000
   1.98000   -0.00001   -0.00405    0.00000
   2.00000   -0.00000   -0.00350    0.00000
   2.02000   -0.00001   -0.00156    0.00000
   2.04000   -0.00001   -0.00242    0.00000
   2.06000    0.00001   -0.00151    0.00000
   2.08000    0.00003   -0.00328    0.00000
   2.10000    0.00001   -0.00230    0.00000
   2.12000   -0.00001   -0.00171    0.00000
   2.14000    0.00000   -0.00276    0.00000
   2.16000    0.00001   -0.00088    0.00000
   2.18000    0.00002   -0.00312    0.00000
   2.20000    0.00002   -0.00267    0.00000
   2.22000   -0.00000   -0.00376    0.00000
   2.24000    0.00000   -0.00483    0.00000
   2.26000   -0.00001   -0.00327    0.00000
   2.28000   -0.00001   -0.00312    0.00000
   2.30000    0.00000   -0.00171    0.00000
   2.32000   -0.00001   -0.00073    0.00000
   2.34000    0.00001   -0.00246    0.00000
   2.36000   -0.00000   -0.00293    0.00000
   2.38000   -0.00002   -0.00262    0.00000
   2.40000   -0.00005   -0.00328    0.00000
   2.42000   -0.00005   -0.00205    0.00000
   2.44000   -0.00006   -0.00386    0.00000
   2.46000   -0.00006   -0.00350    0.00000
   2.48000   -0.00005   -0.00414    0.00000
   2.50000   -0.00004   -0.00260    0.00000
   2.52000   -0.00003   -0.00260    0.00000
   2.54000   -0.00002   -0.00261    0.00000
   2.56000   -0.00002   -0.00246    0.00000
   2.58000    0.00000   -0.00260    0.00000
   2.60000    0.00003   -0.00195    0.00000
   2.62000    0.00003   -0.00100    0.00000
   2.64000    0.00004   -0.00060    0.00000
   2.66000    0.00002   -0.00205    0.00000
   2.68000   -0.00000   -0.00588    0.00000
   2.70000   -0.00002   -0.00321    0.00000
   2.72000   -0.00005   -0.00193    0.00000
   2.74000   -0.00005   -0.00188    0.00000
   2.76000   -0.00004   -0.00340    0.00000
   2.78000   -0.00006   -0.00217    0.00000
   2.80000   -0.00006   -0.00336    0.00000
   2.82000   -0.00007   -0.00343    0.00000
   2.84000   -0.00006   -0.00402    0.00000
   2.86000   -0.00007   -0.00264    0.00000
   2.88000   -0.00007   -0.00156    0.00000
   2.90000   -0.00008   -0.00388    0.00000
   2.92000   -0.00007   -0.00221    0.00000
   2.94000   -0.00005   -0.00250    0.00000
   2.96000   -0.00004   -0.00053    0.00000
   2.98000   -0.00001   -0.00202    0.00000
   3.00000    0.00000   -0.00250    0.00000
   3.02000    0.00001   -0.00260    0.00000
   3.04000    0.00001   -0.00219    0.00000
   3.06000   -0.00001   -0.00342    0.00000
   3.08000   -0.00004   -0.00307    0.00000
   3.10000   -0.00005   -0.00272    0.00000
   3.12000   -0.00004   -0.00305    0.00000
   3.14000   -0.00003   -0.00072    0.00000
   3.16000   -0.00001   -0.00295    0.00000
   3.18000   -0.00001   -0.00426    0.00000
   3.20000   -0.00001   -0.00388    0.00000
   3.22000   -0.00001   -0.00140    0.00000
   3.24000   -0.00002   -0.00221    0.00000
   3.26000   -0.00004   -0.00226    0.00000
   3.28000   -0.00003   -0.00265    0.00000
   3.30000   -0.00003   -0.00248    0.00000
   3.32000   -0.00003   -0.00188    0.00000
   3.34000   -0.00002   -0.00319    0.00000
   3.36000   -0.00002   -0.00315    0.00000
   3.38000   -0.00004   -0.00250    0.00000
   3.40000   -0.00004   -0.00079    0.00000
   3.42000   -0.00002   -0.00112    0.00000
   3.44000   -0.00001   -0.00352    0.00000
   3.46000    0.00002   -0.00121    0.00000
   3.48000   -0.00000   -0.00250    0.00000
   3.50000   -0.00002   -0.00276    0.00000
   3.52000   -0.00003   -0.00424    0.00000
   3.54000   -0.00004   -0.00232    0.00000
   3.56000   -0.00004   -0.00163    0.00000
   3.58000   -0.00000   -0.00212    0.00000
   3.60000    0.00000   -0.00274    0.00000
   3.62000    0.00002   -0.00110    0.00000
   3.64000    0.00002   -0.00238    0.00000
   3.66000    0.00000   -0.00295    0.00000
   3.68000   -0.00002   -0.00233    0.00000
   3.70000   -0.00003   -0.00178    0.00000
   3.72000   -0.00004   -0.00163    0.00000
   3.74000   -0.00004   -0.00136    0.00000
   3.76000   -0.00002   -0.00170    0.00000
   3.78000   -0.00001   -0.00142    0.00000
   3.80000   -0.00002   -0.00491    0.00000
   3.82000    0.00001   -0.00274    0.00000
   3.84000   -0.00000   -0.00277    0.00000
   3.86000   -0.00001   -0.00212    0.00000
   3.88000   -0.00003   -0.00219    0.00000
   3.90000   -0.00005   -0.00364    0.00000
   3.92000   -0.00006   -0.00277    0.00000
   3.94000   -0.00006   -0.00151    0.00000
   3.96000   -0.00007   -0.00188    0.00000
   3.98000   -0.00008   -0.00267    0.00000
   4.00000   -0.00008   -0.00283    0.00000
   4.02000   -0.00005   -0.00102    0.00000
   4.04000   -0.00004   -0.00133    0.00000
   4.06000   -0.00008   -0.00165    0.00000
   4.08000   -0.00012   -0.00161    0.00000
   4.10000   -0.00012   -0.00165    0.00000
   4.12000   -0.00009   -0.00450    0.00000
