% This file provides the inversion result of the first-step (Figure 5b)
% 
% Longitude : φ_j, position of the center point of each unit source (degree)
% Latitude  : θ_j, position of the center point of each unit source (degree)
% Height    : amp, height of each unit source (meter)
% The vertical displacement along horizontal direction is given by Equation (1).
% 	(1)  η_j = amp*exp(-((φ-φ_j )^2+(θ-θ_j )^2)/( 2σ^2 )), σ=15'
% 
%============================================================================
% Longitude    Latitude   Height (m)
 284.11667  -45.88333   1.5080
 284.61667  -45.95000   1.7160
 285.11667  -45.98333   0.0590
 285.61667  -46.05000  -0.6290
 286.08333  -46.11667  -0.7270
 286.58333  -46.18333  -1.4050
 284.18333  -45.38333   1.9130
 284.68333  -45.45000   3.3990
 285.18333  -45.48333   0.2300
 285.68333  -45.55000  -0.8680
 286.15000  -45.61667  -0.0280
 286.65000  -45.68333  -1.7290
 284.25000  -44.88333   2.5430
 284.75000  -44.95000   5.5000
 285.21667  -45.01667   1.1020
 285.71667  -45.05000  -0.3560
 286.21667  -45.11667   0.3590
 286.71667  -45.18333   0.4940
 284.31667  -44.38333   2.1460
 284.78333  -44.45000   2.4700
 285.28333  -44.51667  -0.4760
 285.78333  -44.58333  -1.6450
 286.28333  -44.61667  -0.1490
 286.78333  -44.68333   0.0040
 284.35000  -43.88333   2.9820
 284.85000  -43.95000   2.4510
 285.35000  -44.01667   0.0750
 285.85000  -44.08333  -1.1150
 286.35000  -44.11667   0.0350
 286.85000  -44.18333  -1.1680
 284.41667  -43.38333   4.2960
 284.91667  -43.45000   3.6460
 285.41667  -43.51667   0.9810
 285.91667  -43.58333  -1.4680
 286.41667  -43.65000  -1.2860
 286.91667  -43.68333  -1.6030
 284.48333  -42.88333   4.0150
 284.98333  -42.95000   3.2510
 285.48333  -43.01667   0.2140
 285.98333  -43.08333  -2.1920
 286.48333  -43.15000  -0.0910
 286.95000  -43.21667  -0.1030
 284.55000  -42.38333   2.8990
 285.05000  -42.45000   2.4090
 285.55000  -42.51667   0.2140
 286.05000  -42.58333  -0.5630
 286.51667  -42.65000  -1.1400
 287.01667  -42.71667   1.0760
 284.61667  -41.91667   2.4560
 285.11667  -41.95000   2.7730
 285.58333  -42.01667   0.8260
 286.08333  -42.08333  -1.9870
 286.58333  -42.15000  -1.0040
 287.08333  -42.21667   0.3770
 284.68333  -41.41667   2.1910
 285.15000  -41.48333   2.6390
 285.65000  -41.51667   1.5070
 286.15000  -41.58333  -0.3870
 286.65000  -41.65000  -1.1950
 287.15000  -41.71667   0.4630
 284.71667  -40.91667   1.8060
 285.21667  -40.98333   2.6200
 285.71667  -41.01667   1.3240
 286.21667  -41.08333  -1.2210
 286.71667  -41.15000  -1.2410
 287.21667  -41.21667   0.7200
 284.78333  -40.41667   1.9130
 285.28333  -40.48333   3.6320
 285.78333  -40.55000   2.3600
 286.28333  -40.58333  -2.2890
 286.78333  -40.65000  -0.0700
 287.28333  -40.71667   0.4770
 284.85000  -39.91667   1.3050
 285.35000  -39.98333   3.0420
 285.85000  -40.05000   3.8900
 286.35000  -40.11667  -0.8980
 286.85000  -40.15000  -1.7080
 287.31667  -40.21667   1.4340
 284.91667  -39.41667   1.2530
 285.41667  -39.48333   3.4030
 285.91667  -39.55000   4.6130
 286.38333  -39.61667  -0.5690
 286.88333  -39.65000  -1.6520
 287.38333  -39.71667   0.1120
 284.98333  -38.91667   0.8270
 285.48333  -38.98333   2.5570
 285.95000  -39.05000   4.0330
 286.45000  -39.11667   0.3980
 286.95000  -39.18333  -2.0410
 287.45000  -39.21667  -0.4860
 285.01667  -38.41667   0.9420
 285.51667  -38.48333   1.4310
 286.01667  -38.55000   1.8020
 286.51667  -38.61667  -1.7270
 287.01667  -38.68333  -0.7970
 287.51667  -38.75000  -0.2330
 285.08333  -37.95000   0.2060
 285.58333  -37.98333  -1.0680
 286.08333  -38.05000  -0.0500
 286.58333  -38.11667   0.6150
 287.08333  -38.18333   0.9200
 287.58333  -38.25000   0.0420
 285.15000  -37.45000   0.0740
 285.65000  -37.48333  -0.9880
 286.15000  -37.55000   0.9290
 286.65000  -37.61667   0.1070
 287.15000  -37.68333   0.1430
 287.65000  -37.75000   0.0090
