"Mws","sampling_effort"
7.2,1
7.3,1
7.4,1
7.5,1
7.6,1
7.7,1
7.8,1
7.9,1
8,1
8.1,1
8.2,1
8.3,1
8.4,2
8.5,5
8.6,8
8.7,9
8.8,10
8.9,14
9,13
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
