"theta","max_runup"
359.295300826814,0.0771353
0.00262648883541772,0.0765783
0.70995135032905,0.0762112
1.41705988095516,0.0757907
2.1237369456248,0.0751401
2.82976819648299,0.0738422
3.534940461307,0.0731126
4.23904212656834,0.072737
4.94186351345203,0.0722839
5.64319724518668,0.0718423
6.34283860411014,0.0712561
7.04058587698175,0.0706747
7.73624068714632,0.0699145
8.42960831226223,0.0691536
9.12049798641979,0.0682067
9.80872318559736,0.0672786
10.4941018955309,0.0662058
11.1764568612028,0.0651149
11.8556158172914,0.0639297
12.5314116990557,0.0627553
13.2036828332683,0.0615383
13.8722731089377,0.0604187
14.5370321276976,0.0594047
15.1978153338603,0.0587828
15.8544841242583,0.0584155
355.001952541332,0.0816188
355.713455064689,0.0810947
356.426284503195,0.0806436
357.140223353069,0.080724
357.855052055793,0.0800699
358.570549397806,0.0798506
16.7018170195674,0.0585483
17.3565849812845,0.0574734
18.0067089625455,0.05662
18.6520725971416,0.0561533
352.075648217787,0.0844944
352.788327487569,0.0837096
353.503257146725,0.0838646
354.220224257127,0.0841682
19.5184195850274,0.0568307
20.1601424343013,0.0554657
20.796630994819,0.0545318
21.4277938965445,0.0541392
349.82704532828,0.0872879
350.540251185362,0.0863493
351.256427670264,0.0867612
22.3087137260419,0.0540449
22.9345917671611,0.0527037
23.554737288884,0.052055
347.552532278555,0.0904594
348.263977324741,0.0888515
348.979111689879,0.0896344
24.4464337998964,0.0523587
25.0600754291546,0.0508565
25.6676321653268,0.0500635
345.966271425957,0.0919713
346.678005226252,0.0918438
26.5674941379605,0.0500604
27.167407539326,0.0485563
27.7609423804559,0.0481344
344.360250050072,0.0941492
345.071102736802,0.0948373
28.6663580754115,0.0472502
29.2512055658485,0.0462442
342.73666406397,0.0965223
343.445427348612,0.0974641
30.162437090929,0.046399
30.7378412807802,0.0450698
341.097870181788,0.0989536
341.803307818183,0.0996951
31.6536213574302,0.0452089
32.2188710187488,0.0441568
339.446368704955,0.102616
340.147227987617,0.101543
33.1379273163457,0.0440275
33.6923610531294,0.0427912
337.784783058123,0.106252
338.479807122581,0.103433
34.6134264977982,0.0424153
35.1564370851346,0.0418641
336.803777076411,0.106415
36.0782598517318,0.0396663
36.609297739957,0.0370519
335.809146937761,0.107718
37.5306507400045,0.0365045
38.0492266851534,0.0356773
334.115282591699,0.111152
334.801218632061,0.110338
38.9689163851862,0.0343207
333.096198676132,0.112019
39.8917358297458,0.0347196
40.3914776239312,0.0337885
332.065130541084,0.113737
41.310723367476,0.0342991
331.022544836646,0.115885
42.2318748001553,0.0332394
329.302469893646,0.118027
329.96894917454,0.117972
43.1544604297556,0.0325274
328.242686530782,0.119079
