x,Curve1,Curve2
0.0481,0.156767,-0.114743
0.0577,0.156177,-0.114586
0.0963,0.154136,-0.113958
0.1653,0.151128,-0.112768
0.2032,0.148271,-0.112029
0.2309,0.144587,-0.111423
0.2585,0.141505,-0.110732
0.2712,0.139431,-0.110375
0.2758,0.138196,-0.110237
0.2896,0.135114,-0.109793
0.3345,0.13173,-0.108013
0.3552,0.128723,-0.106983
0.3863,0.125415,-0.105196
0.3967,0.122182,-0.104546
0.3985,0.121836,-0.104435
0.4209,0.119099,-0.102988
0.4416,0.115791,-0.101609
0.4486,0.112858,-0.101139
0.4693,0.109475,-0.099723
0.4948,0.106439,-0.097968
0.497,0.106167,-0.097816
0.5177,0.103235,-0.096382
0.5419,0.099701,-0.094692
0.5661,0.096581,-0.09296
0.5807,0.095216,-0.091878
0.6006,0.09331,-0.090362
0.6265,0.089927,-0.088306
0.6524,0.087182,-0.08618
0.6598,0.086261,-0.085562
0.68,0.083423,-0.083852
0.7025,0.080528,-0.081875
0.7301,0.077521,-0.079187
0.7302,0.077501,-0.079171
0.7543,0.074401,-0.076393
0.7835,0.07202,-0.073118
0.7957,0.071017,-0.07196
0.8233,0.06786,-0.06958
0.8458,0.064439,-0.067752
0.8608,0.062025,-0.066539
0.8821,0.058311,-0.064804
0.8994,0.054852,-0.063347
0.9347,0.050584,-0.06011
0.9529,0.048311,-0.058224
0.9771,0.045379,-0.055713
0.9966,0.044389,-0.053944
1.0478,0.042108,-0.050284
1.0843,0.040305,-0.047967
1.0995,0.039176,-0.047003
1.1219,0.035981,-0.045551
1.1582,0.033049,-0.04305
1.1737,0.031853,-0.041876
1.1979,0.029628,-0.039852
1.2203,0.026883,-0.037774
1.2458,0.024942,-0.035259
1.2565,0.023763,-0.034195
1.2859,0.020117,-0.031556
1.3112,0.020013,-0.030297
1.3508,0.020759,-0.03353
1.3685,0.02132,-0.035948
1.3716,0.021435,-0.0368
1.382,0.021886,-0.040485
