x,Curve1,Curve2
30.0517,0.077224,-0.055715
30.0551,0.077229,-0.055672
30.1619,0.077319,-0.054619
30.1791,0.077314,-0.054529
30.3031,0.077214,-0.054289
30.3341,0.077212,-0.054312
30.4409,0.07733,-0.054487
30.4822,0.077349,-0.054531
30.6028,0.077178,-0.054639
30.6303,0.077151,-0.054683
30.744,0.077171,-0.054933
30.7888,0.077144,-0.055011
30.8783,0.076892,-0.055131
30.93,0.076753,-0.055203
31.0368,0.076771,-0.05533
31.0816,0.076843,-0.055354
31.1746,0.076991,-0.055336
31.24,0.077028,-0.055309
31.333,0.076879,-0.055343
31.3675,0.07683,-0.055398
31.488,0.076837,-0.055638
31.5156,0.076824,-0.055664
31.6499,0.076581,-0.055645
31.6775,0.076528,-0.05563
31.7911,0.076428,-0.055651
31.8256,0.076426,-0.055718
31.9255,0.076435,-0.055897
31.9806,0.076419,-0.055883
32.0874,0.076303,-0.05576
32.1218,0.076269,-0.055732
32.2424,0.076225,-0.055671
32.2768,0.076214,-0.055645
32.3767,0.076162,-0.055629
32.4146,0.07616,-0.055685
32.511,0.076248,-0.055635
32.5661,0.076346,-0.055283
32.6488,0.076512,-0.054343
32.7177,0.076531,-0.053113
32.7418,0.076485,-0.05257
32.8279,0.076217,-0.051132
32.8658,0.07614,-0.051005
32.9622,0.076196,-0.051042
33.0174,0.07623,-0.051011
33.1138,0.076072,-0.050856
33.162,0.076031,-0.050788
33.2791,0.076254,-0.050671
33.317,0.076313,-0.050645
33.4135,0.076252,-0.050533
33.4617,0.07621,-0.050428
33.5616,0.076317,-0.050251
33.6064,0.076396,-0.050252
33.7028,0.076476,-0.050257
33.7441,0.076438,-0.050178
33.8613,0.076232,-0.04988
33.8957,0.07624,-0.049836
34.0163,0.076662,-0.049791
34.0541,0.076857,-0.049755
34.185,0.077481,-0.04951
34.1954,0.077524,-0.049481
34.2953,0.077918,-0.049178
34.3469,0.078142,-0.049106
34.4434,0.078655,-0.048992
34.4813,0.078857,-0.048928
34.6225,0.079417,-0.048616
34.6259,0.079427,-0.048607
34.743,0.079755,-0.048333
34.7637,0.079853,-0.048295
34.898,0.08076,-0.048058
34.9015,0.080779,-0.048051
35.0496,0.081282,-0.04777
35.1839,0.081853,-0.047624
35.208,0.081973,-0.047584
35.3183,0.08252,-0.047291
35.3596,0.082716,-0.047159
35.4733,0.083234,-0.046819
35.487,0.083295,-0.04678
35.611,0.083804,-0.046429
35.6214,0.083841,-0.046401
35.7557,0.084326,-0.046085
35.7626,0.084356,-0.046071
35.9004,0.085041,-0.045822
35.9176,0.085124,-0.04579
36.0347,0.08566,-0.045524
36.0726,0.085847,-0.045412
36.1794,0.086374,-0.04505
36.2207,0.086552,-0.044938
36.3137,0.086945,-0.044821
36.3551,0.087149,-0.044752
36.4584,0.087707,-0.044459
36.5238,0.088052,-0.044278
36.6065,0.088469,-0.044163
36.6616,0.08874,-0.044092
36.7512,0.089184,-0.04387
36.8235,0.089563,-0.043619
36.8786,0.089851,-0.043377
36.9372,0.09014,-0.043143
37.0164,0.090518,-0.042959
37.0818,0.09083,-0.042813
37.1576,0.091184,-0.042594
37.2437,0.091579,-0.04234
37.2954,0.091851,-0.042217
37.4091,0.092542,-0.042011
37.4401,0.092709,-0.041967
