x,Curve1,Curve2
0.0195,0.133883,-0.11991
0.0351,0.133533,-0.11964
0.1091,0.131933,-0.118332
0.1781,0.130134,-0.116928
0.2333,0.126385,-0.115495
0.2623,0.124652,-0.114544
0.323,0.120837,-0.111809
0.3645,0.116189,-0.109306
0.3998,0.112653,-0.106899
0.4129,0.111242,-0.106006
0.4891,0.102667,-0.100903
0.5651,0.094449,-0.094921
0.5853,0.092376,-0.093107
0.6745,0.083456,-0.083813
0.7448,0.075857,-0.076083
0.7569,0.074388,-0.074968
0.8599,0.059489,-0.065673
0.8763,0.056966,-0.062773
0.901,0.053275,-0.058177
0.994,0.039574,-0.051658
0.9972,0.039077,-0.051431
1.0217,0.035376,-0.049219
1.0452,0.034168,-0.045884
1.077,0.032227,-0.041911
1.0864,0.031473,-0.041087
1.1276,0.027421,-0.037938
1.1323,0.026979,-0.036829
1.1481,0.02559,-0.033141
1.2013,0.021581,-0.028604
1.2168,0.020479,-0.027594
1.258,0.017331,-0.025046
1.2704,0.016184,-0.024084
1.3118,0.012885,-0.022021
1.3268,0.013139,-0.022048
1.3737,0.016333,-0.025261
1.3959,0.021422,-0.028345
1.4011,0.02233,-0.029364
1.4168,0.023986,-0.033742
1.4583,0.028001,-0.03869
1.4697,0.029376,-0.040228
1.486,0.031557,-0.042589
1.5275,0.037799,-0.047087
1.569,0.044359,-0.052934
1.5931,0.048115,-0.05694
1.5967,0.048673,-0.057282
1.6519,0.056911,-0.06133
1.6935,0.062897,-0.067028
1.7233,0.067155,-0.069387
1.7349,0.068822,-0.070176
1.7764,0.074834,-0.074824
1.7918,0.07705,-0.07729
1.818,0.080697,-0.081571
1.8595,0.086224,-0.086519
1.8604,0.086345,-0.08661
1.9147,0.092966,-0.091317
1.9427,0.096089,-0.093414
1.9769,0.09969,-0.096415
2.0323,0.104904,-0.103162
2.0457,0.105984,-0.104452
2.1013,0.109395,-0.10871
2.1145,0.110331,-0.109649
2.1566,0.115089,-0.112608
2.1694,0.116477,-0.113454
2.2381,0.121574,-0.117631
2.2394,0.121651,-0.117706
2.3,0.124423,-0.120638
2.3291,0.125628,-0.121754
2.4238,0.12832,-0.124063
2.4463,0.128643,-0.124304
2.596,0.128619,-0.12384
2.6047,0.128481,-0.123705
2.6926,0.125469,-0.121345
2.7286,0.12387,-0.119808
2.7616,0.122171,-0.118136
2.8248,0.11805,-0.114262
2.8583,0.115273,-0.111938
2.8998,0.109726,-0.10905
2.9073,0.10898,-0.108565
2.9551,0.104928,-0.105679
2.9623,0.10425,-0.105117
3.0241,0.098247,-0.09912
3.079,0.092769,-0.094023
3.1279,0.087835,-0.088812
3.1408,0.08652,-0.087577
3.1832,0.082888,-0.084616
3.2095,0.081361,-0.08323
3.2522,0.078089,-0.081094
3.2937,0.072692,-0.079069
3.3196,0.07151,-0.077833
3.3765,0.069693,-0.075192
3.4365,0.06565,-0.072586
3.4386,0.065495,-0.072499
3.5259,0.05995,-0.068839
3.5284,0.059797,-0.068714
3.6084,0.054452,-0.063892
3.6112,0.054249,-0.063696
3.6634,0.050065,-0.060144
3.6665,0.049751,-0.059957
3.7011,0.046152,-0.057941
3.7734,0.041588,-0.053848
3.777,0.041354,-0.053643
3.8392,0.036406,-0.050254
3.849,0.034463,-0.049801
3.86,0.033258,-0.049336
3.9385,0.029052,-0.047102
3.9428,0.029059,-0.047032
3.9839,0.035806,-0.046616
4.0418,0.044251,-0.047403
4.0524,0.0457,-0.048057
4.0834,0.050458,-0.05295
4.1141,0.055145,-0.056518
4.1248,0.056553,-0.057448
4.1456,0.059037,-0.060297
4.1457,0.059051,-0.063745
4.1964,0.06504,-0.066307
4.2009,0.065603,-0.066594
4.2424,0.070886,-0.071542
4.2839,0.07616,-0.07634
4.3254,0.081252,-0.081438
4.3404,0.08303,-0.082675
4.3807,0.087633,-0.085336
4.4221,0.092198,-0.089085
4.4429,0.094442,-0.092983
4.4982,0.100309,-0.096881
4.512,0.101769,-0.097787
4.5534,0.10617,-0.10108
4.5673,0.107645,-0.103628
4.5944,0.110464,-0.105562
4.6225,0.113142,-0.107227
4.6493,0.115412,-0.108707
4.664,0.116575,-0.109476
4.718,0.120509,-0.11213
4.7261,0.121033,-0.112475
4.7799,0.124556,-0.114412
4.795,0.125745,-0.114874
4.8486,0.129203,-0.116191
4.8846,0.130563,-0.116824
4.9656,0.132201,-0.11792
5.069,0.131601,-0.118334
5.0707,0.131565,-0.118324
5.1379,0.129501,-0.117219
5.2,0.127252,-0.115395
5.2084,0.126975,-0.115177
5.2552,0.124853,-0.114262
5.2967,0.120355,-0.113478
5.3185,0.118608,-0.112779
5.3658,0.115107,-0.108841
5.3734,0.114414,-0.108131
5.4072,0.111059,-0.10629
5.4353,0.109489,-0.105283
5.4624,0.10776,-0.104251
5.5178,0.101763,-0.101841
5.5179,0.101749,-0.101836
5.573,0.097415,-0.099217
5.621,0.095117,-0.096589
5.642,0.093966,-0.09445
5.6485,0.093524,-0.09404
5.6835,0.090667,-0.092581
5.7318,0.088868,-0.090849
5.7517,0.087765,-0.090143
5.8008,0.08407,-0.088371
5.8561,0.078972,-0.086316
5.8893,0.077244,-0.085046
5.9251,0.075973,-0.083627
5.9925,0.073376,-0.080249
5.9941,0.073274,-0.080133
6.0217,0.070725,-0.077821
6.0612,0.069231,-0.076052
6.1458,0.067126,-0.07475
6.2333,0.06556,-0.073504
6.3181,0.064126,-0.071236
6.3778,0.062516,-0.069158
6.3871,0.062177,-0.06885
6.456,0.060377,-0.066652
6.4879,0.059725,-0.06541
6.5457,0.058278,-0.062227
6.5636,0.057351,-0.061513
6.5871,0.056328,-0.060967
6.66,0.057432,-0.061663
6.6697,0.058127,-0.062161
6.7153,0.065457,-0.067511
6.7313,0.067872,-0.071189
6.7361,0.068463,-0.071709
6.7983,0.074217,-0.076207
6.8275,0.077016,-0.079257
6.8605,0.082038,-0.083554
6.896,0.087511,-0.087995
6.909,0.089107,-0.089251
6.9642,0.094923,-0.093449
7.0195,0.099852,-0.099147
7.0264,0.100403,-0.099796
7.0952,0.105051,-0.105268
7.0955,0.105084,-0.105294
7.1294,0.109848,-0.107713
7.1715,0.113356,-0.110842
7.1844,0.114195,-0.111923
7.2405,0.117521,-0.11549
7.2669,0.118843,-0.116511
7.3647,0.122751,-0.119539
7.3907,0.123639,-0.120311
7.4405,0.125186,-0.120889
7.5422,0.126937,-0.120522
7.5989,0.126323,-0.11999
7.6732,0.123787,-0.118739
7.7434,0.120528,-0.116393
7.7767,0.118689,-0.114515
7.8181,0.115691,-0.111185
7.8259,0.115285,-0.110396
7.8671,0.113645,-0.106799
7.8871,0.112991,-0.105764
7.9561,0.110292,-0.102613
7.9771,0.107908,-0.101702
7.9975,0.105644,-0.100833
8.0734,0.101185,-0.097654
