x,Curve1,Curve2
30.051,0.069732,-0.056907
30.0901,0.069732,-0.056245
30.2346,0.069735,-0.055185
30.4091,0.069738,-0.055139
30.6685,0.069742,-0.05537
30.6915,0.069742,-0.055405
30.9256,0.069746,-0.055748
30.9371,0.069746,-0.05575
31.3526,0.069753,-0.055554
31.3572,0.069753,-0.055551
31.5638,0.069756,-0.055548
31.5661,0.069757,-0.05555
31.7796,0.069856,-0.055723
31.8393,0.069864,-0.055735
32.1308,0.069958,-0.055657
32.2319,0.070062,-0.055633
32.4385,0.070322,-0.055629
32.4682,0.070348,-0.055575
32.6449,0.07034,-0.054185
32.7093,0.070352,-0.052353
32.8099,0.070411,-0.05053
33.1225,0.070647,-0.05031
33.1749,0.070664,-0.050332
33.3015,0.07065,-0.050102
33.4572,0.070861,-0.049559
33.5288,0.070942,-0.049439
33.7808,0.071097,-0.049361
33.8455,0.071139,-0.049335
34.0108,0.071334,-0.049176
34.0219,0.071341,-0.049165
34.2105,0.071338,-0.048959
34.318,0.071347,-0.048776
34.4171,0.071437,-0.048564
34.665,0.072018,-0.048003
34.7173,0.072216,-0.047905
34.8646,0.07279,-0.047776
34.9446,0.07297,-0.047709
35.0643,0.073177,-0.047466
35.2544,0.0737,-0.046935
35.2778,0.073757,-0.046862
35.5229,0.0743,-0.046162
35.7184,0.074726,-0.046079
35.764,0.074833,-0.046062
35.925,0.075306,-0.045938
36.1152,0.075879,-0.045864
36.1178,0.075885,-0.045865
36.3011,0.076351,-0.045861
36.5653,0.077046,-0.044211
36.5971,0.077139,-0.04403
36.7719,0.077722,-0.043552
36.8312,0.077851,-0.04345
36.9922,0.078206,-0.043067
37.2374,0.078891,-0.042482
37.4259,0.079462,-0.042322
37.4578,0.079563,-0.042286
37.6256,0.080042,-0.041813
37.7263,0.080218,-0.041513
37.8735,0.080623,-0.04113
38.1145,0.081395,-0.04057
38.1257,0.081333,-0.040546
38.1904,0.079186,-0.040404
38.232,0.076208,-0.040316
38.3011,0.073903,-0.040166
38.3047,0.073904,-0.040158
38.5732,0.074917,-0.039481
38.7279,0.075736,-0.039057
38.9482,0.076701,-0.038505
38.9932,0.076899,-0.038417
39.1929,0.077803,-0.038318
39.427,0.07888,-0.037834
39.5815,0.079594,-0.037559
39.7743,0.080462,-0.037221
39.8539,0.080808,-0.037058
39.9739,0.08133,-0.036713
40.0398,0.081615,-0.036574
40.2809,0.082643,-0.03657
40.4076,0.083163,-0.036303
40.6142,0.084031,-0.035756
40.7147,0.084769,-0.035506
40.8,0.085187,-0.035348
40.9557,0.085745,-0.035118
41.1484,0.086425,-0.03425
41.2406,0.086828,-0.033962
41.4471,0.08808,-0.033518
41.472,0.087866,-0.033476
41.5093,0.085391,-0.033417
41.558,0.080011,-0.033344
41.775,0.080168,-0.032894
41.8266,0.080495,-0.032721
42.0125,0.081171,-0.032022
42.1055,0.081355,-0.031736
42.4222,0.08201,-0.030962
42.4807,0.08214,-0.03058
42.6424,0.082552,-0.029132
42.701,0.08272,-0.028783
42.8902,0.083176,-0.027687
42.9007,0.083204,-0.027595
43.131,0.083845,-0.024896
43.3276,0.084364,-0.023493
43.3375,0.084387,-0.023452
43.5548,0.084752,-0.02278
43.606,0.084827,-0.022678
43.7407,0.085043,-0.022487
43.9916,0.085397,-0.022288
44.2158,0.085628,-0.022186
44.4362,0.085631,-0.022171
44.4806,0.08571,-0.022184
44.5947,0.084481,-0.022246
44.6435,0.078139,-0.022284
44.8594,0.078093,-0.022466
44.8846,0.078239,-0.022474
45.1004,0.078344,-0.022462
45.1049,0.078339,-0.022464
45.5251,0.077962,-0.022817
45.5481,0.077916,-0.022839
45.6973,0.07758,-0.022963
45.7754,0.077529,-0.023027
45.9476,0.077444,-0.023216
46.1886,0.077333,-0.023405
46.3608,0.077232,-0.023402
46.3929,0.077207,-0.023275
46.526,0.077015,-0.022246
46.6409,0.076635,-0.020907
46.6911,0.076525,-0.020321
46.808,0.076322,-0.018686
46.8491,0.076257,-0.016667
47.0489,0.075962,-0.016568
47.1092,0.075874,-0.016769
47.2142,0.075711,-0.017142
47.4553,0.075132,-0.017522
47.4605,0.075111,-0.017528
47.626,0.072999,-0.017682
47.6816,0.067811,-0.017708
47.6819,0.064064,-0.017708
47.6894,0.063894,-0.017711
