"lon","lat","gaugeID"
184.818525114826,-21.1378899669226,1.6
184.81903022375,-21.1376322002672,2.6
184.818855852189,-21.1377762463394,3.6
184.818135621828,-21.1377080139894,4.6
184.817688320867,-21.1375639679173,5.6
184.817407810095,-21.1374786774798,6.6
184.817197427016,-21.137448351991,7.6
184.816848683894,-21.1373630615535,8.6
184.816388115532,-21.1371261436717,9.6
184.815912118164,-21.1368765053999,10.6
184.815656656584,-21.1368324602998,11.6
184.815339531863,-21.1366562798995,12.6
184.814784563602,-21.1363303461589,13.6
184.814405775741,-21.1360748845784,14.6
184.816079489545,-21.1373081473807,15.6
184.815832836984,-21.1378366885817,16.6
184.814643619282,-21.1377045532814,17.6
184.816687311926,-21.1382419035024,18.6
184.817894147668,-21.1386030733231,19.6
184.818607678289,-21.1389994792238,20.6
184.819338826951,-21.1394046941446,21.6
184.815982590324,-21.1384885560629,22.6
184.814802181642,-21.1386647364632,23.6
184.815374767943,-21.1388673439236,24.6
184.817303943327,-21.1383916568427,25.6
184.815216205583,-21.1377221713215,26.6
184.81889837595,-21.1374358781709,27.6
184.81882349928,-21.1372729113006,28.6
184.818576846719,-21.1370526858002,29.6
184.81870457751,-21.1367267520596,30.6
185.068572430271,-21.1451217481352,31.6
185.060115771056,-21.0678842606323,32.6
185.030799352442,-21.1857137123702,33.6
185.005429374795,-21.1535784073508,34.6
184.982878283553,-21.1259533205797,35.6
184.952434310377,-21.1135502203968,36.6
184.918043896233,-21.1084762248674,37.6
184.898311691397,-21.1073486703053,38.6
184.877451931998,-21.1096037794295,39.6
184.857719727162,-21.1118588885536,40.6
184.854900840756,-21.1242619887366,41.6
184.853773286194,-21.1406115298868,42.6
184.85151817707,-21.1513232982266,43.6
184.859411059005,-21.1541421846318,44.6
184.866176386377,-21.1620350665664,45.6
184.870686604626,-21.1704917257821,46.6
184.871250381907,-21.1766932758735,47.6
184.866176386377,-21.1812034941219,48.6
184.858283504443,-21.1845861578081,49.6
184.854759896436,-21.1582295699194,50.6
184.847007958822,-21.1599209017625,51.6
184.840242631449,-21.162316955207,52.6
184.833900137038,-21.1585114585599,53.6
184.827557642626,-21.1578067369586,54.6
184.818678150449,-21.1610484563246,55.6
184.8134632106,-21.1594980688017,56.6
184.802328609299,-21.1548469062331,57.6
184.796831780809,-21.1541421846318,58.6
184.796549892168,-21.1637263984096,59.6
184.790207397757,-21.1755657213114,60.6
184.782596404463,-21.1741562781088,61.6
184.776253910051,-21.1685185052984,62.6
184.779777518057,-21.1638673427298,63.6
184.784569624946,-21.1575248483181,64.6
184.791053063678,-21.1542831289521,65.6
184.79739555809,-21.1799349952395,66.6
184.852363842992,-21.1848680464486,67.6
184.843907183776,-21.1881097658146,68.6
184.838128466645,-21.1848680464486,69.6
184.832490693835,-21.1871231555728,70.6
184.832631638155,-21.192619984063,71.6
184.839678854168,-21.1929018727035,72.6
184.818523992599,-21.1377882389716,73.6
184.991497909639,-21.1518518394276,74.6
184.976557811691,-21.1518518394276,75.6
184.970920038881,-21.16397305097,76.6
184.961617713744,-21.1673557146563,77.6
184.951187834044,-21.1707383783425,78.6
184.941321731626,-21.1741210420288,79.6
184.932301295129,-21.176939928434,80.6
184.923844635914,-21.1822958126039,81.6
184.920743860868,-21.189906805898,82.6
184.915387976698,-21.1949808014273,83.6
184.912005313012,-21.2006185742378,84.6
184.906649428842,-21.2062563470482,85.6
184.902421099234,-21.2121760084991,86.6
184.902984876515,-21.2183775585906,87.6
184.90552187428,-21.2237334427605,88.6
184.908904537966,-21.2302168814925,89.6
184.908058872045,-21.2365593759042,90.6
184.908763593646,-21.2445932021591,91.6
184.906931317483,-21.2500900306492,92.6
184.904112431077,-21.2544593045773,93.6
184.902139210594,-21.2593923557864,94.6
