llx,lly,urx,ury,min_elev_coarse_dem,max_elev_coarse_dem
153,-29,154,-28,-3497,1106
153,-28,154,-27,-4543,979
152,-27,153,-26,-60,765
153,-27,154,-26,-4583,538
151,-26,152,-25,11,639
152,-26,153,-25,-60,639
153,-26,154,-25,-4577,286
150,-25,151,-24,3,899
151,-25,152,-24,-43,904
152,-25,153,-24,-880,395
153,-25,154,-24,-4184,187
149,-24,150,-23,9,923
150,-24,151,-23,-46,679
151,-24,152,-23,-279,679
152,-24,153,-23,-880,59
153,-24,154,-23,-3751,-29
149,-23,150,-22,-32,795
150,-23,151,-22,-78,710
151,-23,152,-22,-142,198
152,-23,153,-22,-420,4
153,-23,154,-22,-1379,0
148,-22,149,-21,-11,1164
149,-22,150,-21,-66,795
150,-22,151,-21,-81,183
151,-22,152,-21,-299,12
152,-22,153,-21,-535,4
153,-22,154,-21,-2279,0
147,-21,148,-20,-29,772
148,-21,149,-20,-69,1164
149,-21,150,-20,-86,511
150,-21,151,-20,-315,17
151,-21,152,-20,-393,1
152,-21,153,-20,-1612,0
153,-21,154,-20,-2899,-8
146,-20,147,-19,-41,1121
147,-20,148,-19,-80,1121
148,-20,149,-19,-646,715
149,-20,150,-19,-921,308
150,-20,151,-19,-1463,11
151,-20,152,-19,-1465,-24
152,-20,153,-19,-2258,-18
145,-19,146,-18,-21,1013
146,-19,147,-18,-960,1013
147,-19,148,-18,-1277,395
148,-19,149,-18,-1219,0
152,-19,153,-18,-2588,-18
