"source_zone","is_a_segment","p_0","p_0.01","p_0.05","p_0.1","p_0.2","p_0.3","p_0.4","p_0.5","p_0.6","p_0.7","p_0.8","p_0.9","p_0.95","p_0.99","p_1"
"izumariana",FALSE,7.35,8.38025605100797,8.65137606443112,8.81404807248501,8.9767200805389,9.08516808590815,9.13939208859279,9.19361609127742,9.24784009396205,9.30206409664667,9.35628809933131,9.41051210201594,9.41051210201594,9.41051210201594,9.46473610470056
"izumariana_izubonin",TRUE,7.35,7.56296035749882,8.20184142999528,8.4148017874941,8.68100223436763,8.84072250249174,8.94720268124115,9.05368285999056,9.16016303873997,9.21340312811468,9.26664321748938,9.31988330686409,9.37312339623879,9.37312339623879,9.4263634856135
"izumariana_marianas",TRUE,7.35,8.09759609142512,8.47139413713768,8.63159329958592,8.84519218285024,8.9519916244824,9.05879106611456,9.11219078693064,9.2189902285628,9.27238994937888,9.32578967019496,9.37918939101104,9.37918939101104,9.37918939101104,9.43258911182712
"kermadectonga2",FALSE,8.15,8.35022339838124,8.63053615611498,8.79071487481997,8.95089359352496,9.07102763255371,9.19116167158245,9.27125103093495,9.39138506996369,9.47147442931619,9.55156378866869,9.59160846834493,9.59160846834493,9.59160846834493,9.6
"kermadectonga2_tonga",TRUE,8.05,8.08565884210939,8.29961189476574,8.44224726320331,8.62054147375027,8.76317684218784,8.87015336851601,8.97712989484419,9.08410642117236,9.15542410539115,9.26240063171932,9.33371831593811,9.3693771580475,9.40503600015689,9.44069484226628
"kermadectonga2_kermadec",TRUE,8.15,8.15,8.29505979073588,8.40385463378779,8.58517937220764,8.73023916294353,8.87529895367941,8.98409379673132,9.09288863978323,9.20168348283514,9.31047832588705,9.41927316893896,9.4918030643069,9.52806801199088,9.56433295967484
"kermadectonga2_hikurangi",TRUE,8.05,8.08387754348469,8.32102034787756,8.49040806530104,8.7275508696939,8.86306104363268,8.96469367408677,9.03244876105616,9.13408139151024,9.20183647847963,9.23571402196433,9.30346910893372,9.33734665241841,9.33734665241841,9.37122419590311
"kurilsjapan",FALSE,9.15,9.15,9.17241690896869,9.21725072690606,9.30691836278081,9.37416908968686,9.46383672556161,9.55350436143635,9.59833817937373,9.59833817937373,9.59833817937373,9.59833817937373,9.59833817937373,9.59833817937373,9.6
"kurilsjapan_kurils",TRUE,9.05,9.05,9.09221378346383,9.15553445865958,9.26106891731917,9.34549648424684,9.4299240511745,9.49324472637025,9.57767229329792,9.59877918502984,9.59877918502984,9.59877918502984,9.59877918502984,9.59877918502984,9.6
"kurilsjapan_japan",TRUE,9.15,9.15,9.15,9.1672781206216,9.20183436186481,9.23639060310801,9.27094684435122,9.30550308559442,9.34005932683763,9.37461556808083,9.40917180932404,9.44372805056724,9.46100617118884,9.47828429181045,9.48692335212125
"newhebrides2",FALSE,8.35,8.35,8.35,8.37176208439849,8.41528625319546,8.48057250639091,8.56762084398485,8.6329070971803,8.71995543477424,8.82876585676667,8.9158141943606,9.04638670075151,9.11167295394696,9.17695920714242,9.1987212915409
"newhebrides2_matthewhunter",TRUE,8.05,8.05,8.05,8.08853146470823,8.16559439412468,8.24265732354113,8.31972025295758,8.39678318237403,8.47384611179049,8.55090904120694,8.62797197062339,8.70503490003984,8.74356636474807,8.78209782945629,8.80136356181041
"newhebrides2_south",TRUE,7.65,7.65,7.65,7.65,7.68330700268903,7.7499210080671,7.8498420161342,7.98307002689034,8.11629803764647,8.28283305109164,8.48267506722584,8.71582408604908,8.81574509411618,8.91566610218328,8.94897310487232
"newhebrides2_central",TRUE,8.35,8.35,8.37862639262121,8.42156598155302,8.50744515941664,8.57901114096966,8.63626392621207,8.69351671145448,8.73645630038629,8.7793958893181,8.82233547824991,8.86527506718172,8.87958826349233,8.89390145980293,8.90821465611353
"newhebrides2_north",TRUE,8.05,8.05,8.05,8.05,8.08750092052741,8.12500184105483,8.16250276158224,8.21875414237336,8.27500552316448,8.35000736421931,8.42500920527413,8.55626242712008,8.6312642681749,8.74376702975714,8.78126795028455
"puysegur2",FALSE,7.85,7.85,7.85,7.87394988750555,7.9457995500222,8.01764921253886,8.08949887505551,8.16134853757216,8.25714808759437,8.35294763761657,8.47269707514433,8.59244651267209,8.68824606269429,8.76009572521095,8.7840456127165
"solomon2",FALSE,8.15,8.15,8.15,8.24394108810455,8.43182326431366,8.58839174448792,8.71364652862733,8.80758761673188,8.90152870483644,8.99546979294099,9.08941088104554,9.21466566518495,9.27729305725465,9.33992044932435,9.37123414535921
"solomon2_southeast",TRUE,8.15,8.15,8.20480479829862,8.25960959659723,8.39662159234377,8.506231188941,8.61584078553823,8.69804798298616,8.78025518043408,8.862462377882,8.97207197447923,9.08168157107646,9.13648636937508,9.1912911676737,9.218693566823
"solomon2_northwest",TRUE,8.15,8.15,8.1696483352047,8.2089450056141,8.30718668163761,8.38578002245641,8.46437336327522,8.52331836888932,8.60191170970813,8.66085671532223,8.73945005614104,8.81804339695984,8.85734006736924,8.89663673777865,8.91628507298335
"solomon2_newbritain",TRUE,8.15,8.15,8.20244807988539,8.28112019971348,8.41224039942697,8.51713655919775,8.59580867902584,8.67448079885393,8.77937695862472,8.85804907845281,8.9367211982809,9.04161735805169,9.09406543793708,9.14651351782247,9.17273755776517
"southamerica",FALSE,9.25,9.25,9.29343191096394,9.35857977740986,9.46715955481972,9.53230742126564,9.59745528771155,9.59745528771155,9.59745528771155,9.59745528771155,9.59745528771155,9.59745528771155,9.59745528771155,9.59745528771155,9.6
"southamerica_patagonia",TRUE,8.05,8.23510527434398,8.60531582303195,8.83669741596193,9.0680790088919,9.20690796464989,9.34573692040788,9.43828955757987,9.53084219475186,9.57711851333786,9.57711851333786,9.57711851333786,9.57711851333786,9.57711851333786,9.6
"southamerica_central_chile",TRUE,9.25,9.25,9.26054228055203,9.29216912220812,9.34488052496828,9.39759192772844,9.43976104993656,9.48193017214469,9.51355701380078,9.5557261360089,9.587352977665,9.59789525821703,9.59789525821703,9.59789525821703,9.6
"southamerica_northern_chile",TRUE,8.65,8.65,8.72927776905983,8.8349814611396,8.99353699925926,9.09924069133903,9.20494438341881,9.28422215247863,9.36349992153846,9.44277769059829,9.52205545965812,9.57490730569801,9.57490730569801,9.57490730569801,9.6
"southamerica_peru",TRUE,9.05,9.05,9.1216835170949,9.1933670341898,9.3367340683796,9.43231209117279,9.52789011396599,9.59957363106089,9.59957363106089,9.59957363106089,9.59957363106089,9.59957363106089,9.59957363106089,9.59957363106089,9.6
"southamerica_ecuador",TRUE,8.85,8.85,8.88746312622611,8.94365781556528,9.03731563113055,9.13097344669583,9.20589969914805,9.28082595160027,9.33702064093944,9.3932153302786,9.44941001961777,9.50560470895693,9.54306783518304,9.5617993982961,9.58053096140915
"sunda2",FALSE,9.05,9.05,9.10737645536527,9.16475291073053,9.27950582146107,9.3942587321916,9.4803234152395,9.59507632597003,9.59507632597003,9.59507632597003,9.59507632597003,9.59507632597003,9.59507632597003,9.59507632597003,9.6
"sunda2_java",TRUE,7.85,8.26460652157761,8.57556141276082,8.78286467354962,8.99016793433843,9.14564537993003,9.24929701032443,9.40477445591604,9.45660027111324,9.56025190150764,9.56025190150764,9.56025190150764,9.56025190150764,9.56025190150764,9.6
"sunda2_sumatra",TRUE,9.05,9.05,9.05,9.08444855244751,9.15334565734253,9.2050184860138,9.27391559090881,9.32558841958008,9.3944855244751,9.46338262937012,9.53227973426514,9.5839525629364,9.5839525629364,9.5839525629364,9.6
"sunda2_andaman",TRUE,9.05,9.05,9.05,9.06770254151359,9.12081016605436,9.17391779059512,9.22702541513589,9.28013303967666,9.35094320573101,9.42175337178537,9.51026607935331,9.59877878692125,9.59877878692125,9.59877878692125,9.6
"sunda2_arakan",TRUE,7.55,7.92401814612871,8.45832978345545,8.67205443838614,8.93921025704951,9.09950374824753,9.20636607571288,9.31322840317822,9.3666595669109,9.42009073064357,9.47352189437624,9.52695305810892,9.58038422184159,9.58038422184159,9.6
"alaskaaleutians",FALSE,9.25,9.25,9.28540642876092,9.33851607190229,9.42703214380458,9.49784500132642,9.56865785884825,9.58636107322871,9.58636107322871,9.58636107322871,9.58636107322871,9.58636107322871,9.58636107322871,9.58636107322871,9.6
"alaskaaleutians_eastern",TRUE,9.25,9.25,9.27730912954495,9.33192738863485,9.4138547772697,9.4684730363596,9.52309129544949,9.56405498976692,9.59136411931187,9.59136411931187,9.59136411931187,9.59136411931187,9.59136411931187,9.59136411931187,9.6
"alaskaaleutians_western",TRUE,8.75,8.75,8.79429756359177,8.86074390897942,8.97148781795884,9.06008294514237,9.1486780723259,9.23727319950944,9.30371954489709,9.39231467208062,9.45876101746827,9.52520736285592,9.56950492644769,9.59165370824358,9.6
"alaskaaleutians_komandorski",TRUE,8.05,8.05,8.10169608356802,8.17924020892005,8.33432845962412,8.46356866854417,8.56696083568021,8.67035300281625,8.74789712816828,8.82544125352032,8.90298537887235,8.98052950422438,9.00637754600839,9.0322255877924,9.05807362957641
"cascadia",FALSE,8.85,8.85,8.88142361477709,8.92855903694272,9.02282988127398,9.1013889182167,9.16423614777087,9.22708337732505,9.27421879949068,9.32135422165631,9.36848964382194,9.41562506598757,9.43133687337611,9.44704868076466,9.4627604881532
"mexico",FALSE,8.25,8.25,8.28519988125733,8.3907995250293,8.56679893131592,8.70759845634522,8.81319810011719,8.91879774388917,9.02439738766114,9.16519691269044,9.27079655646242,9.41159608149171,9.51719572526369,9.58759548777834,9.6
"sandwich",FALSE,7.55,7.55,7.81667253950569,8.00715292486689,8.27382546437258,8.42620977266154,8.54049800387826,8.65478623509498,8.73097838923947,8.80717054338395,8.88336269752843,8.95955485167291,8.99765092874515,8.99765092874515,9.03574700581739
"ryuku",FALSE,8.55,8.55,8.69073008893629,8.80800516304987,8.97219026680888,9.06601032609974,9.1598303853906,9.20674041503603,9.27710545950418,9.32401548914961,9.37092551879504,9.41783554844047,9.44129056326318,9.44129056326318,9.4647455780859
"ryuku_nankai",TRUE,8.55,8.55,8.58235893344065,8.63089733360163,8.71179466720325,8.79269200080488,8.85740986768618,8.92212773456748,8.97066613472846,9.03538400160976,9.08392240177074,9.13246080193171,9.14864026865204,9.16481973537236,9.18099920209269
"ryuku_ryuku",TRUE,8.05,8.21596700033649,8.48151420087488,8.61428780114408,8.81344820154787,8.91302840174977,9.01260860195166,9.07899540208626,9.14538220222086,9.17857560228816,9.24496240242275,9.27815580249005,9.31134920255735,9.31134920255735,9.34454260262465
"hjort",FALSE,7.35,7.35,7.4252060077187,7.53801501929674,7.76363304245283,7.95164806174957,8.10206007718696,8.25247209262436,8.3652811042024,8.51569311963979,8.59089912735849,8.70370813893653,8.74131114279588,8.77891414665523,8.81651715051458
"makran2",FALSE,8.15,8.53898913403907,8.8847572531849,9.05764131275782,9.23052537233074,9.36018841701042,9.44663044679688,9.53307247658334,9.57629349147657,9.57629349147657,9.57629349147657,9.57629349147657,9.57629349147657,9.57629349147657,9.6
"macquarieislandnorth",FALSE,7.35,7.35,7.35392360068833,7.361770802065,7.37354160413,7.38923600688333,7.40493040963666,7.42062481238999,7.43631921514332,7.45201361789666,7.46770802064999,7.48340242340332,7.49124962477999,7.49909682615665,7.50302042684499
"outerrisesunda",FALSE,8.35,8.35,8.38928924618539,8.44822311546347,8.54644623092693,8.64466934639039,8.72324783876117,8.80182633113194,8.88040482350271,8.93933869278079,8.99827256205887,8.99827256205887,8.99827256205887,8.99827256205887,9
"timortrough",FALSE,7.35,7.35,7.41196702079197,7.50491755197993,7.69081861435584,7.87671967673175,8.0006537183157,8.12458775989964,8.21753829108759,8.31048882227555,8.40343935346351,8.46540637425548,8.49638988465146,8.52737339504745,8.55835690544344
"arutrough",FALSE,7.35,7.35,7.38339614168746,7.45018842506239,7.58377299181225,7.75075370024957,7.88433826699942,8.01792283374928,8.15150740049913,8.28509196724899,8.41867653399884,8.51886495906124,8.58565724243616,8.61905338412363,8.65244952581109
"floreswetar",FALSE,7.85,7.85,7.8720268265947,7.93810730637879,8.04824143935228,8.15837557232577,8.24648287870456,8.33459018508335,8.40067066486745,8.48877797124624,8.55485845103033,8.62093893081443,8.66499258400382,8.68701941059852,8.70904623719322
"seram_thrust",FALSE,8.05,8.05,8.09047473269744,8.17142419809231,8.29284839618461,8.3940352279282,8.47498469332307,8.53569679236922,8.61664625776409,8.67735835681024,8.73807045585639,8.77854518855383,8.79878255490255,8.81901992125126,8.83925728759998
"banda_detachment",FALSE,7.35,7.35,7.52163939076382,7.92213130254605,8.3798363445829,8.66590199585593,8.83754138661974,8.95196764712895,8.95196764712895,8.95196764712895,8.95196764712895,8.95196764712895,8.95196764712895,8.95196764712895,9
"se_sulawesi",FALSE,7.35,7.35,7.37307242335137,7.4192172700541,7.53457938681094,7.62686908021642,7.71915877362189,7.81144846702736,7.90373816043283,7.99602785383831,8.08831754724378,8.15753481729788,8.20367966400062,8.22675208735199,8.24982451070336
"tolo_thrust",FALSE,7.35,7.35,7.37380089628651,7.42140268885953,7.51660627400558,7.61180985915163,7.70701344429767,7.82601792573023,7.92122151087628,7.99262419973581,8.08782778488186,8.1830313700279,8.23063316260093,8.25443405888744,8.27823495517395
"tanimbar",FALSE,7.35,7.35,7.39691589354279,7.49074768062837,7.67841125479953,7.86607482897069,8.05373840314185,8.24140197731301,8.42906555148417,8.61672912565533,8.80439269982649,8.99205627399765,8.99205627399765,8.99205627399765,9
"seramsouth",FALSE,7.35,7.35,7.37667991546788,7.43003974640362,7.53675940827513,7.64347907014663,7.75019873201813,7.85691839388963,7.96363805576113,8.07035771763263,8.17707737950413,8.28379704137563,8.33715687231138,8.36383678777925,8.39051670324713
"north_sulawesi",FALSE,7.95,7.95,7.95,7.98229083069565,8.07916332278259,8.17603581486954,8.30519913765213,8.40207162973908,8.49894412182602,8.62810744460861,8.78956159808686,8.9510157515651,9.04788824365204,9.17705156643464,9.20934239713029
"outer_rise_timor",FALSE,7.35,7.35,7.39644673407224,7.48934020221672,7.67512713850568,7.86091407479465,8.04670101108361,8.23248794737257,8.41827488366154,8.6040618199505,8.78984875623946,8.97563569252842,8.97563569252842,8.97563569252842,9
"sangihe",FALSE,8.35,8.35,8.36438130869224,8.39314392607672,8.45066916084569,8.5225757043069,8.58010093907586,8.63762617384482,8.68077009992155,8.73829533469051,8.79582056945948,8.85334580422844,8.88210842161292,8.89648973030516,8.9108710389974
"sangihe_backthrust",FALSE,8.35,8.35,8.36735579448771,8.40206738346312,8.47149056141393,8.54091373936475,8.61033691731557,8.67976009526639,8.74918327321721,8.80125065668032,8.87067383463114,8.94009701258196,8.97480860155737,9.00952019053278,9.02687598502048
"manokwari",FALSE,7.75,7.75,7.75,7.76989028660762,7.80967085982286,7.86934171964571,7.92901257946857,7.98868343929143,8.06824458572191,8.14780573215238,8.24725716519048,8.3665988848362,8.44616003126667,8.50583089108953,8.52572117769715
"newguinea2",FALSE,8.25,8.55023722911346,8.85047445822692,9.03812272642283,9.18824134097956,9.30083030189711,9.37588960917547,9.45094891645384,9.5260082237322,9.56353787737138,9.56353787737138,9.56353787737138,9.56353787737138,9.56353787737138,9.6
"mussau",FALSE,7.35,7.35,7.37651286444463,7.42953859333388,7.53559005111239,7.66815437333553,7.77420583111404,7.88025728889254,7.98630874667105,8.09236020444956,8.19841166222807,8.27795025556195,8.33097598445121,8.35748884889584,8.38400171334046
"moresby_trough",FALSE,7.35,7.35,7.38869559995189,7.46608679985567,7.65956479961512,7.81434719942268,8.00782519918213,8.16260759898969,8.31738999879725,8.43347679865292,8.58825919846047,8.70434599831614,8.78173719821992,8.82043279817181,8.8591283981237
"trobriand",FALSE,7.35,7.35,7.37981211581704,7.43943634745113,7.55868481071929,7.67793327398746,7.79718173725563,7.9164302005238,8.03567866379196,8.15492712706013,8.2741755903283,8.39342405359647,8.45304828523055,8.48286040104759,8.51267251686463
"outerrisesolomon",FALSE,7.35,7.35,7.44141032844584,7.57852582111461,7.89846197067506,8.17269295601259,8.40121877712721,8.53833426979597,8.67544976246474,8.8125652551335,8.90397558357935,8.99538591202519,8.99538591202519,8.99538591202519,9
"outerrisenewhebrides",FALSE,7.75,7.75,7.75,7.78474525632706,7.88898102530826,7.99321679428945,8.09745256327064,8.2364335885789,8.37541461388716,8.51439563919542,8.68812192083074,8.86184820246607,8.96608397144726,8.96608397144726,9
"outerrise_kermadectonga",FALSE,8.15,8.15,8.15,8.1967406903267,8.29022207098011,8.36033310647016,8.45381448712357,8.54729586777698,8.64077724843039,8.73425862908379,8.8277400097372,8.94459173555396,8.99133242588066,8.99133242588066,9
"manus",FALSE,7.55,7.55,7.57056331884871,7.63225327539483,7.73506986963837,7.8173231450332,7.92013973927673,8.00239301467156,8.06408297121768,8.14633624661251,8.20802620315863,8.26971615970476,8.31084279740217,8.33140611625088,8.35196943509959
"philippine",FALSE,8.05,8.05,8.05,8.09620127137728,8.18860381413184,8.2810063568864,8.37340889964095,8.46581144239551,8.55821398515007,8.65061652790463,8.74301907065918,8.83542161341374,8.88162288479102,8.9278241561683,8.95092479185694
"outerrise_puysegur",FALSE,7.35,7.35,7.39131460631993,7.47394381895978,7.6392022442395,7.80446066951921,7.96971909479892,8.17629212639857,8.30023594535835,8.46549437063806,8.63075279591778,8.79601122119749,8.87864043383735,8.91995504015728,8.9612696464772
