"source_tifs","slip","start_time","end_time"
"/g/data/w85/tsunami/MODELS/inundation/WA_tsunami_inundation_DFES/kalbarri_2_onslow/sources/Java2006/java2006_FujiSatake_1kms/FujiiSatake06_Java2006_1_unit_source_verticalplushorizontal.tif",0.5,0,0.001
"/g/data/w85/tsunami/MODELS/inundation/WA_tsunami_inundation_DFES/kalbarri_2_onslow/sources/Java2006/java2006_FujiSatake_1kms/FujiiSatake06_Java2006_2_unit_source_verticalplushorizontal.tif",0.19,0,0.001
"/g/data/w85/tsunami/MODELS/inundation/WA_tsunami_inundation_DFES/kalbarri_2_onslow/sources/Java2006/java2006_FujiSatake_1kms/FujiiSatake06_Java2006_3_unit_source_verticalplushorizontal.tif",0.67,0,0.001
"/g/data/w85/tsunami/MODELS/inundation/WA_tsunami_inundation_DFES/kalbarri_2_onslow/sources/Java2006/java2006_FujiSatake_1kms/FujiiSatake06_Java2006_4_unit_source_verticalplushorizontal.tif",0.3,0,0.001
"/g/data/w85/tsunami/MODELS/inundation/WA_tsunami_inundation_DFES/kalbarri_2_onslow/sources/Java2006/java2006_FujiSatake_1kms/FujiiSatake06_Java2006_5_unit_source_verticalplushorizontal.tif",1.81,0,0.001
"/g/data/w85/tsunami/MODELS/inundation/WA_tsunami_inundation_DFES/kalbarri_2_onslow/sources/Java2006/java2006_FujiSatake_1kms/FujiiSatake06_Java2006_6_unit_source_verticalplushorizontal.tif",0.95,0,0.001
"/g/data/w85/tsunami/MODELS/inundation/WA_tsunami_inundation_DFES/kalbarri_2_onslow/sources/Java2006/java2006_FujiSatake_1kms/FujiiSatake06_Java2006_7_unit_source_verticalplushorizontal.tif",2.42,0,0.001
"/g/data/w85/tsunami/MODELS/inundation/WA_tsunami_inundation_DFES/kalbarri_2_onslow/sources/Java2006/java2006_FujiSatake_1kms/FujiiSatake06_Java2006_8_unit_source_verticalplushorizontal.tif",2.73,0,0.001
"/g/data/w85/tsunami/MODELS/inundation/WA_tsunami_inundation_DFES/kalbarri_2_onslow/sources/Java2006/java2006_FujiSatake_1kms/FujiiSatake06_Java2006_9_unit_source_verticalplushorizontal.tif",0.26,0,0.001
"/g/data/w85/tsunami/MODELS/inundation/WA_tsunami_inundation_DFES/kalbarri_2_onslow/sources/Java2006/java2006_FujiSatake_1kms/FujiiSatake06_Java2006_10_unit_source_verticalplushorizontal.tif",3.69,0,0.001
