"lon","lat","WMO ID","Deployment IDs","Hull","Start current deployment","Start of real-time data","Transmission Status","Location","Buoy Latitude","Buoy Longitude","Surveyed Water Depth (m)","BPR Latitude","BPR Longitude","PAROS Returned Depth (m)","Ocean Designator","Primary GTS ID","Secondary GTS ID","Last Service Date","Date Station Established","Trigger Threshold (mm)","Generation","Primary Transmitter ID","Secondary Transmitter ID","Clock Offset (sec)","PAROS Serial Number","Buoy/BPR Firmware"
88.9977777777778,13.4997222222222,"23219","23219_20160513","STB05","2016-05-13","2016-05-13 15:04:17","No Tx > 12 Hours","Bay of Bengal","13° 29' 59"" N","88° 59' 52"" E","2938","13° 29' 59"" N","88° 59' 52"" E","2938","23219","DD23219P","DD23219S","2016-05-13","2014-02-11"," ","2.1","IN4P","IN4S"," ","W23219","2.39/2.78"
89.3333333333333,14.4333333333333,"23220","23220_20140212","ITB06","2014-02-12","2014-02-12 10:53:51","Transmitting","Bay of Bengal","14° 26' 0"" N","89° 20' 0"" E","2783","14° 26' 0"" N","89° 20' 0"" E","2783","23220","DD23220P","DD23220S","2014-02-12","2014-02-11"," ","2.1","IN5P","IN5S"," ","W23220","2.39/2.78"
89.4833333333333,17.3333333333333,"23223","23223_20140919","W23223","2014-10-19","2014-10-19 10:44:34","No Tx > 12 Hours","Bay of Bengal","17° 20' 0"" N","89° 29' 0"" E","3000","17° 20' 0"" N","89° 29' 0"" E","3000","23223","DD23223P","DD23223S","2014-10-19","2014-09-19"," ","N/A","IN7P","IN7S"," ","W23223","N/A"
67.3333333333333,20.2,"23226","23226_20140212","ITB12","2014-02-12","2014-02-12 11:01:23","No Tx > 12 Hours","Arabian Sea","20° 12' 0"" N","67° 20' 0"" E","3077","20° 12' 0"" N","67° 20' 0"" E","3077","23226","DD23226P","DD23226S","2014-02-12","2014-02-11"," ","2.1","IN6P","IN6S"," ","W23226","2.39/2.78"
88.7919444444444,6.25472222222222,"23227","23227_20111017","STB-01","2011-10-06","2011-10-06 16:06:58","No Tx > 12 Hours","Bay of Bengal","6° 15' 17"" N","88° 47' 31"" E","3793","6° 15' 17"" N","88° 47' 31"" E","3793","23227","DD23227P","DD23227S","2011-10-06","2011-10-17"," ","2.1","IN3P","IN3S"," ","W23227","2.39/2.78"
65.3466666666667,20.7986111111111,"23228","23228_20111017","STB-02","2011-10-06","2011-10-06 15:59:50","No Tx > 12 Hours","Arabian Sea","20° 47' 55"" N","65° 20' 48"" E","2611","20° 47' 55"" N","65° 20' 48"" E","2611","23228","DD23228P","DD23228S","2011-10-06","2011-10-17"," ","2.1","IN2P","IN2S"," ","W23228","2.39/2.78"
88.5369444444444,8.90472222222222,"23401","23401_20060101","THAILAND","2006-01-01","2006-01-01 00:00:00","No Tx > 12 Hours","600 NM West-Northwest of Phuket, Thailand","8° 54' 17"" N","88° 32' 13"" E","9999","8° 54' 19"" N","88° 32' 18"" E","3469","23401","DD23401P","DD23401S","2006-01-01","2006-10-04"," ","2.1","L01P","L01S"," ","115374","2.39/2.78"
-81.7652777777778,-1.13583333333333,"32066","32066_20140430","ECUADOR","2014-04-30","2014-04-30 06:00:00","No Tx > 12 Hours","Coast of Ecuador","1° 8' 9"" S","81° 45' 55"" W","1600","1° 7' 47"" S","81° 46' 7"" W","1600","Ecuador","DD32066P","DD32066S","2014-04-30","2012-07-30"," ","N/A","MS1P","MS1S"," ","ECUADOR","N/A"
-81.2616666666667,0.641111111111111,"32067","32067_20140423","MS3","2014-04-08","2014-04-08 10:11:53","Transmitting","Offshore Esmeraldas","0° 38' 28"" N","81° 15' 42"" W","2900","0° 39' 19"" N","81° 13' 25"" W","2894","32067","DD32067P","DD32067S","2014-04-08","2014-04-08"," ","N/A","MS3P","MS3S"," ","32NOR","N/A"
-73.4294444444444,-20.4727777777778,"32401","32401_20141202","2.6DXX","2014-12-02","2014-03-12 00:00:00","Transmitting","260 NM West-Southwest of Arica Chile","20° 28' 22"" S","73° 25' 46"" W","4865","20° 28' 15"" S","73° 25' 43"" W","4830","32401","DD32401P","DD32401S","2014-03-12","2003-11-25"," ","2.1","N01P","N01S"," ","127081","2.39/2.78"
