"scenario_row","mw","scenario_rates","weight_inflation","alternate_scenario_rates"
12281,7.5,0.000237085865832493,0.0235744025558233,0.000194093155348142
12302,7.5,0.000420079932167292,0.0133049860596657,0.00034390341763515
12609,7.5,0.00307213278567501,0.00181930861435831,0.00251503793330904
15518,7.6,0.000788003768820935,0.0172816775739193,0.0003043344161258
15568,7.6,0.000837154638823091,0.0162670388817787,0.000323316941230423
15596,7.6,0.00139031545944272,0.00979491882026196,0.000536952817133446
18833,7.7,0.000816447418737317,0.00577038200572133,0.0010058074379701
18704,7.7,0.000430910437190258,0.0109331617131829,0.000530852217642142
18822,7.7,0.00119380825185011,0.00394637370482087,0.00147069020204379
21915,7.8,0.000274816794222224,0.0352054424583912,0.000171567497988832
22072,7.8,0.0015266641806226,0.00633737724274397,0.000953092966824982
21824,7.8,0.000177072093910417,0.0546390265226364,0.000110545704464072
24081,7.9,0.000550977976445042,0.052874356508255,0.000129906466087772
24103,7.9,0.000363780535356648,0.0800829157233238,8.57701138702657e-05
24061,7.9,0.000690708189102721,0.0421778783202171,0.000162851264079824
26169,8,0.000151060624153195,0.0491057895123959,0.000154003254856023
26292,8,0.000490839438775938,0.0151127856224775,0.000500400892733896
26331,8,0.000678086938888053,0.010939528234303,0.00069129593664471
28281,8.1,0.000719970969342285,0.0205991417169571,0.00036814137616026
28334,8.1,0.000268990094583625,0.0551350563764572,0.00013754218963017
28209,8.1,8.82899187723111e-05,0.167978227138519,4.51451149865234e-05
30374,8.2,0.000223707420926392,0.0524882823228836,0.000153352356181455
30503,8.2,0.00044372220507896,0.0264625437557697,0.000304173394682686
30256,8.2,0.000217116724548542,0.0540815927088261,0.000148834406735547
32378,8.3,0.000331956709302811,0.0227597523480654,0.000370234948844546
32583,8.3,0.000290570599657679,0.0260014347732067,0.000324076568073989
32317,8.3,9.25577752420649e-05,0.0816274210810661,0.000103230699129059
34681,8.4,0.000311557569860914,0.0302547998726368,0.000290658309044034
34284,8.4,0.000124727734320109,0.0755735039710999,0.000116361006296719
34477,8.4,0.000139951962554451,0.0673524811863899,0.000130563994325769
36444,8.5,0.000132905454173149,0.0728522464632988,0.000116252141982172
36609,8.5,0.000169190148292712,0.0572282783687115,0.000147990293277842
36348,8.5,0.000159465308110019,0.0607182905077934,0.000139483994505486
37543,8.6,0.000148392808068785,0.0426662862300873,0.000221952427765375
37573,8.6,0.000178164736599876,0.0355366058647633,0.000266482563037632
37528,8.6,3.96411056084098e-05,0.159717291593552,5.92915502010841e-05
38476,8.7,0.000161577699112988,0.0765627697110176,0.000107603717086611
38447,8.7,8.17844294505469e-05,0.151261508464813,5.44648714333572e-05
38478,8.7,4.32522360871289e-05,0.28601610660553,2.88041072550998e-05
39538,8.8,0.000150985633385,0.0476119071245193,0.000181635998297401
39362,8.8,4.28272142684859e-05,0.167853876948357,5.15212185659907e-05
39466,8.8,2.64426763096419e-05,0.271860301494598,3.18105888717887e-05
40425,8.9,9.69788457499797e-05,0.0511899068951607,0.000192770857797737
40357,8.9,1.66979970177242e-05,0.297301411628723,3.31916428136229e-05
40412,8.9,5.15569903875807e-05,0.0962883606553078,0.000102483022824446
41265,9,6.27122553069173e-05,0.140507191419601,7.18724951743967e-05
41145,9,3.29232805829233e-05,0.267638057470322,3.7732311064891e-05
41260,9,2.38699602574242e-05,0.369146943092346,2.73565923441687e-05
41953,9.1,2.55991172849276e-05,0.552219152450562,1.71992538219595e-05
41963,9.1,3.31304322676859e-05,0.426686942577362,2.22593110325202e-05
41933,9.1,2.49629995819998e-05,0.566291034221649,1.67718660448138e-05
42666,9.2,7.69713712072318e-06,1.11076736450195,6.65865683255688e-06
42682,9.2,2.03829495309349e-05,0.41945493221283,1.76329281956549e-05
42550,9.2,2.67244362090177e-05,0.319921761751175,2.31188358695483e-05
43210,9.3,4.84179981955751e-06,1.35539400577545,4.93972252156223e-06
43179,9.3,1.53324576820214e-05,0.428016602993011,1.56425480906608e-05
43175,9.3,1.22726858555162e-05,0.534727811813354,1.25208940848142e-05
43689,9.4,2.11680778814171e-06,1.46153855323792,1.7200767238601e-06
43664,9.4,9.25983177578892e-07,3.34109330177307,7.5243587035255e-07
43758,9.4,4.11823044380184e-06,0.751244068145752,3.34639373945906e-06
