"lon_c","lat_c","depth_c","length","width","slip","strike","dip","rake"
287.21293289324,-38.9307810024051,63.0215824176989,25,25,2,16.031,22,110
286.952935094077,-38.8767811383904,53.6565824176989,25,25,2,16.031,22,110
286.692946444309,-38.8197740653678,44.5965922657433,25,25,2,16.031,20.5,110
286.432948370532,-38.7658742034622,35.8415922657433,25,25,3,16.031,20.5,110
286.16294567943,-38.7088330598931,28.0194669477125,25,25,3,16.031,16,110
285.902937982229,-38.6508332159018,21.1284669477125,25,25,1,16.031,16,110
285.622881687265,-38.5927598099448,15.5116022208366,25,25,0,16.031,10,110
285.352870098523,-38.5337599759726,11.1706022208366,25,25,0,16.031,10,110
287.289909771171,-38.7228273580973,63.0215824176989,25,25,1,19.349,22,110
287.029912993744,-38.6678274907976,53.6565824176989,25,25,3,19.349,22,110
286.769902915169,-38.6127792438623,44.5965922657433,25,25,2,19.349,20.5,110
286.509903915612,-38.5567793813302,35.8415922657433,25,25,1,19.349,20.5,110
286.249932294955,-38.4997907127536,28.0194669477125,25,25,3,19.349,16,110
285.979929464011,-38.4427908596551,21.1284669477125,25,25,1,19.349,16,110
285.709905747862,-38.3837634637338,15.5116022208366,25,25,2,19.349,10,110
285.439899168746,-38.3257636201199,11.1706022208366,25,25,0,19.349,10,110
287.366906454126,-38.4927992370067,63.0215824176989,25,25,1,12.014,22,110
287.106907270902,-38.4377993787014,53.6565824176989,25,25,1,12.014,22,110
286.846937813056,-38.3828198182077,44.5965922657433,25,25,3,12.014,20.5,110
286.596936351574,-38.3268199649971,35.8415922657433,25,25,3,12.014,20.5,110
286.326873202314,-38.269790973984,28.0194669477125,25,25,4,12.014,16,110
286.056867813817,-38.2127911308505,21.1284669477125,25,25,1,12.014,16,110
285.786847799661,-38.1538378500584,15.5116022208366,25,25,1,12.014,10,110
285.516938568794,-38.0958380170577,11.1706022208366,25,25,1,12.014,10,110
287.398852575611,-38.2578644008974,63.0215824176989,25,25,0,4.649,22,110
287.138850863852,-38.2018645497407,53.6565824176989,25,25,0,4.649,22,110
286.888901539328,-38.146849533001,44.5965922657433,25,25,2,4.649,20.5,110
286.628899351428,-38.0908496844442,35.8415922657433,25,25,5,4.649,20.5,110
286.358889694193,-38.0338696427341,28.0194669477125,25,25,7,4.649,16,110
286.098883550369,-37.9768698045784,21.1284669477125,25,25,4,4.649,16,110
285.828816203901,-37.9187803656606,15.5116022208366,25,25,3,4.649,10,110
285.5589042908,-37.8597805409364,11.1706022208366,25,25,0,4.649,10,110
287.421844659129,-38.0338921647284,63.0215824176989,25,25,0,4.664,22,110
287.171845867632,-37.9788923100157,53.6565824176989,25,25,2,4.664,22,110
286.911891701773,-37.9228775852745,44.5965922657433,25,25,3,4.664,20.5,110
286.651890645236,-37.8668777357889,35.8415922657433,25,25,5,4.664,20.5,110
286.391871253421,-37.8097984461141,28.0194669477125,25,25,8,4.664,16,110
286.121866284809,-37.7527986069694,21.1284669477125,25,25,6,4.664,16,110
285.851890129888,-37.6948098882034,15.5116022208366,25,25,3,4.664,10,110
285.581879454843,-37.635810062413,11.1706022208366,25,25,2,4.664,10,110
287.443918400692,-37.8178340920405,63.0215824176989,25,25,2,8.287,22,110
287.193921361312,-37.7628342344181,53.6565824176989,25,25,1,8.287,22,110
286.933855557475,-37.7068864700078,44.5965922657433,25,25,2,8.287,20.5,110
286.673858062671,-37.6518866148796,35.8415922657433,25,25,8,8.287,20.5,110
286.413903691765,-37.5937808653567,28.0194669477125,25,25,7,8.287,16,110
286.153900583795,-37.5367810229983,21.1284669477125,25,25,8,8.287,16,110
285.883893031626,-37.4788584789553,15.5116022208366,25,25,4,8.287,10,110
285.6138843176,-37.4198586496887,11.1706022208366,25,25,1,8.287,10,110
287.48391729505,-37.5938760348826,63.0215824176989,25,25,1,8.31,22,110
287.233923074798,-37.5398761738157,53.6565824176989,25,25,0,8.31,22,110
286.973852363255,-37.4828288466047,44.5965922657433,25,25,5,8.31,20.5,110
286.713855950297,-37.4278289905906,35.8415922657433,25,25,10,8.31,20.5,110
286.453894165145,-37.3708243655745,28.0194669477125,25,25,9,8.31,16,110
286.193892195366,-37.3138245222606,21.1284669477125,25,25,9,8.31,16,110
285.92387381568,-37.2548030615195,15.5116022208366,25,25,4,8.31,10,110
285.653869946407,-37.1978032254693,11.1706022208366,25,25,0,8.31,10,110
287.514924167296,-37.3718161685638,63.0215824176989,25,25,1,8.332,22,110
287.26492925948,-37.3168163092142,53.6565824176989,25,25,1,8.332,22,110
287.004857535234,-37.2608693949527,44.5965922657433,25,25,4,8.332,20.5,110
286.744862181302,-37.2058695380739,35.8415922657433,25,25,8,8.332,20.5,110
286.484891183956,-37.1488659923828,28.0194669477125,25,25,6,8.332,16,110
286.2248903339,-37.0918661481316,21.1284669477125,25,25,5,8.332,16,110
285.954863296718,-37.0328457214655,15.5116022208366,25,25,1,8.332,10,110
285.694858768011,-36.9748458872957,11.1706022208366,25,25,0,8.332,10,110
287.555835125127,-37.1498580944814,63.0215824176989,25,25,1,8.355,22,105
287.305841259746,-37.0948582342897,53.6565824176989,25,25,1,8.355,22,105
287.045868179122,-37.039811751799,44.5965922657433,25,25,5,8.355,20.5,105
286.79587215566,-36.9838118966547,35.8415922657433,25,25,12,8.355,20.5,105
286.535892032236,-36.9268094777676,28.0194669477125,25,25,12,8.355,16,105
286.265892289764,-36.8698096325908,21.1284669477125,25,25,8,8.355,16,105
286.005856675815,-36.8107902854627,15.5116022208366,25,25,4,8.355,10,105
285.735853294789,-36.7527904503114,11.1706022208366,25,25,0,8.355,10,105
287.610933563531,-36.9408377944222,63.0215824176989,25,25,2,14.464,22,105
287.360942643213,-36.8858379276011,53.6565824176989,25,25,1,14.464,22,105
287.100940841201,-36.8308028116299,44.5965922657433,25,25,7,14.464,20.5,105
286.850949488874,-36.7758029471577,35.8415922657433,25,25,8,14.464,20.5,105
286.590888805424,-36.7177891557391,28.0194669477125,25,25,10,14.464,16,105
286.330893884551,-36.6617893006419,21.1284669477125,25,25,7,14.464,16,105
286.060881633036,-36.6018463360782,15.5116022208366,25,25,2,14.464,10,105
285.790881494509,-36.5438464931211,11.1706022208366,25,25,1,14.464,10,105
287.670855182204,-36.7248087147878,63.0215824176989,25,25,3,14.504,22,105
287.410865244098,-36.6698088471696,53.6565824176989,25,25,2,14.504,22,105
287.160859090568,-36.613874463983,44.5965922657433,25,25,3,14.504,20.5,105
286.910867088258,-36.5578746011471,35.8415922657433,25,25,6,14.504,20.5,105
286.650899122217,-36.5008627023794,28.0194669477125,25,25,2,14.504,16,105
286.390903556232,-36.4438628489884,21.1284669477125,25,25,2,14.504,16,105
286.120886126545,-36.3858216946351,15.5116022208366,25,25,1,14.504,10,105
285.860885363734,-36.3268218534386,11.1706022208366,25,25,0,14.504,10,105
287.734896611006,-36.5218120554859,63.0215824176989,25,25,4,20.566,22,105
287.484910501131,-36.4668121786478,53.6565824176989,25,25,4,20.566,22,105
287.23496253645,-36.4107853210097,44.5965922657433,25,25,6,20.566,20.5,105
286.984874450469,-36.3547854486232,35.8415922657433,25,25,8,20.566,20.5,105
286.724892750083,-36.2978522252686,28.0194669477125,25,25,2,20.566,16,105
286.464901251606,-36.2408523616727,21.1284669477125,25,25,0,20.566,16,105
286.204875265142,-36.1827780615977,15.5116022208366,25,25,2,20.566,10,105
285.934878791028,-36.1237782093504,11.1706022208366,25,25,3,20.566,10,105
287.825909643535,-36.3268269608945,63.0215824176989,25,25,4,26.64,22,105
287.575928223884,-36.2718270725853,53.6565824176989,25,25,4,26.64,22,105
287.325925904811,-36.2158037741249,44.5965922657433,25,25,4,26.64,20.5,105
287.075944101815,-36.16080388779,35.8415922657433,25,25,6,26.64,20.5,105
286.815914282103,-36.1038390659279,28.0194669477125,25,25,2,26.64,16,105
286.555926247237,-36.0458391918045,21.1284669477125,25,25,0,26.64,16,105
286.295959178215,-35.9878219086005,15.5116022208366,25,25,2,26.64,10,105
286.035967958324,-35.9288220426004,11.1706022208366,25,25,3,26.64,10,105
287.94995257182,-36.1258248534194,63.0215824176989,25,25,4,26.7,22,105
287.699971998931,-36.0708249644213,53.6565824176989,25,25,4,26.7,22,105
287.449966904807,-36.0148026718263,44.5965922657433,25,25,5,26.7,20.5,105
287.199985952451,-35.9598027847927,35.8415922657433,25,25,9,26.7,20.5,105
286.939947636112,-35.9028405711505,28.0194669477125,25,25,7,26.7,16,105
286.689962016524,-35.8458406941005,21.1284669477125,25,25,1,26.7,16,105
286.419985428101,-35.7868259110479,15.5116022208366,25,25,2,26.7,10,105
286.159896684389,-35.7288260419741,11.1706022208366,25,25,3,26.7,10,105
288.066956700396,-35.9037996049915,63.0215824176989,25,25,2,18.689,22,105
287.816872197853,-35.8487997290914,53.6565824176989,25,25,1,18.689,22,105
287.566932256897,-35.7938399948728,44.5965922657433,25,25,3,18.689,20.5,105
287.316945810235,-35.73784012347,35.8415922657433,25,25,10,18.689,20.5,105
287.056878055084,-35.6808217037744,28.0194669477125,25,25,12,18.689,16,105
286.806888259496,-35.6238218412386,21.1284669477125,25,25,0,18.689,16,105
286.536874557875,-35.5648659623096,15.5116022208366,25,25,0,18.689,10,105
286.276881485445,-35.5068661086953,11.1706022208366,25,25,2,18.689,10,105
288.145884617358,-35.6818418916467,63.0215824176989,25,25,2,14.692,22,105
287.89589926837,-35.6268420203304,53.6565824176989,25,25,0,14.692,22,105
287.645881154817,-35.5718110674107,44.5965922657433,25,25,2,14.692,20.5,105
287.395893842479,-35.5158112007607,35.8415922657433,25,25,11,14.692,20.5,105
287.135884225361,-35.4588082050993,28.0194669477125,25,25,19,14.692,16,105
286.885893530441,-35.4018083476473,21.1284669477125,25,25,6,14.692,16,105
286.625935383995,-35.3428757235236,15.5116022208366,25,25,0,14.692,10,105
286.35594137927,-35.2848758753268,11.1706022208366,25,25,2,14.692,10,105
288.205925380405,-35.4648162390116,63.0215824176989,25,25,1,14.734,22,105
287.95594095723,-35.4098163669515,53.6565824176989,25,25,3,14.734,22,105
287.705920265769,-35.3548861793454,44.5965922657433,25,25,7,14.734,20.5,105
287.455932360005,-35.2978863142936,35.8415922657433,25,25,15,14.734,20.5,105
287.195915665383,-35.2417853020438,28.0194669477125,25,25,20,14.734,16,105
286.945924382575,-35.1837854462588,21.1284669477125,25,25,8,14.734,16,105
286.685861451574,-35.1268547188482,15.5116022208366,25,25,1,14.734,10,105
286.425866860955,-35.0678548723882,11.1706022208366,25,25,3,14.734,10,105
288.278896529494,-35.2738355409153,63.0215824176989,25,25,2,25.298,22,105
288.038918348095,-35.2188356521974,53.6565824176989,25,25,2,25.298,22,105
287.788917172182,-35.1627899365165,44.5965922657433,25,25,7,25.298,20.5,105
287.538937196291,-35.1067900518356,35.8415922657433,25,25,16,25.298,20.5,105
