 'X', 'Y','ID'
0,0,0
2.068,-0.515,1
2.068,4.065,2
18.618,0,3
18.618,2.86,4
33.611,-3.193,11
34.103,-3.194,12
34.534,-3.184,13
35.04,-3.181,14
35.544,-3.194,15
36.355,-3.199,16
37.767,-3.201,17
39.223,-3.204,18
40.676,-3.228,19
33.721,-0.588,21
34.218,-0.533,22
34.679,-0.467,23
35.176,-0.406,24
35.747,-0.317,25
36.635,-0.229,26
37.773,-0.068,27
39.218,0.135,28
40.668,0.269,29
33.809,1.505,31
34.553,1.604,32
35.051,1.686,33
35.556,1.769,34
36.05,1.845,35
37.047,1.988,36
38.243,2.193,37
39.208,2.338,38
40.4,2.582,39
35.124,3.712,41
36.684,3.888,42
38.086,4.07,43
38.141,3.585,44
