"x","y"
113.070870299084,-25.929899817201
113.059147174791,-25.8982268147243
112.976673967043,-25.5384605836691
113.004850599116,-25.55635377338
112.994772825601,-25.5711619303821
113.10336597695,-25.8885603789034
113.109536042368,-25.8883547100562
113.117351458563,-25.8978154770298
113.105422665423,-25.9475873380647
113.133187959802,-25.9798773470832
113.200955844971,-26.0512444370796
113.210468029157,-26.0758218643262
113.233914277743,-26.0905271869047
113.233760026108,-26.0972628416522
113.230520741764,-26.1021988939862
113.226715868089,-26.103895661976
113.206508903847,-26.1029187349516
113.191340826362,-26.0583400123098
113.070870299084,-25.929899817201
