"Mws","sampling_effort"
7.2,3
7.3,3
7.4,3
7.5,3
7.6,3
7.7,3
7.8,3
7.9,3
8,3
8.1,3
8.2,3
8.3,3
8.4,3
8.5,3
8.6,3
8.7,3
8.8,3
8.9,7
9,8
9.1,27
9.2,36
9.3,47
9.4,42
9.5,47
9.6,52
9.7,0
9.8,0
