"lon","lat","site"
153.584429,-28.875377,"BallinaBreakwall_1min_DPIE"
150.071478,-36.426333,"Bermagui_1min_DPIE"
153.552769,-28.537025,"BrunswickHeads_1min_DPIE"
153.146144,-30.302869,"CoffsHarbourInnerPumpoutJetty_1min_DPIE"
150.759397,-34.90534,"CrookhavenHeads_1min_DPIE"
152.750014,-31.838706,"CrowdyHeadFishermansWharf_1min_DPIE"
152.508206,-32.173986,"Forster_1min_DPIE"
159.05815,-31.523638,"LordHoweIsland_1min_DPIE"
152.911125,-31.426825,"PortMacquarie_1min_DPIE"
152.17565,-32.719672,"ShoalBay_1min_DPIE"
153.551186,-28.170639,"TweedEntranceSouth_1min_DPIE"
153.362061,-29.428958,"Yamba_1min_DPIE"
149.908288,-37.071241,"Eden_1min_DPIE"
149.9266,-37.1003,"TwofoldBay_1min_BOM"
149.9266,-37.1003,"Eden_6min_BOM"
149.908208333333,-37.0713527777778,"Eden_15min_DPIE"
153.4326,-27.9387,"GoldCoastSandBypass"
150.177831,-35.703811,"BatemansBay_PrincessJetty_1min_DPIE"
150.476525,-35.357672,"Ulladulla_1min_DPIE"
150.476530555556,-35.35765,"Ulladulla_15min_DPIE"
150.707439,-35.121953,"JervisBay_1min_DPIE"
150.7076,-35.1220027777778,"JervisBay_15min_DPIE"
151.1509,-34.082683,"Bundeena_1min_DPIE"
151.258533,-33.825461,"Sydney_MiddleHarbour_1min_DPIE"
151.258533333333,-33.8254333333333,"Sydney_15min_DPIE"
151.225833333333,-33.8546666666667,"Sydney_FortDenison1960"
151.1474,-34.0728,"Cronulla_CSIRO_Fisheries_1960"
151.225833333333,-33.8546666666667,"Sydney_FortDenison_1min_PA"
151.22577,-33.854651,"Sydney_FortDenison_1min_PA_b"
151.211658333333,-33.9739805555556,"Sydney_BotanyBay_1min_PA"
151.220267,-33.967903,"Sydney_Botany_Bay_Pilot_Jetty_1min_PA"
151.211088,-34.004186,"Sydney_Botany_Bay_Kurnell_Wharf_1min_PA"
151.274619,-33.550983,"Hawkesbury_Patonga_1min_DPIE"
151.788944,-32.923806,"Newcastle_east_1min_PA"
167.9536,-29.0591,"Norfolk_Island_BOM_1min"
150.911833333333,-34.4738333333333,"PortKembla_BOM_1min_2004"
150.9118,-34.4734,"PortKembla_1min_BOM"
150.89358,-34.45558,"PortKembla_GrainTerminal_1min_PA"
150.9118,-34.4734,"PortKembla_6min_BOM"
141.613333333333,-38.3433333333333,"Portland_BOM_1min_2004"
115.738333333333,-31.825,"Hillarys_BOM_1min_2004"
115.738333333333,-31.825,"Hillarys_BOM_1min_2005"
115.738333333333,-31.825,"Hillarys_BOM_1min"
115.748056,-32.065556,"Freemantle_WADoT_5min_2004"
115.748056,-32.065556,"FreemantleAlternate_WADoT_5min_2004"
115.7395,-32.0541666666,"FremantleInnerHarbour_5min"
115.703333,-32.274444,"ManglesBay_WADoT_5min_2004"
115.85725,-31.959694,"BarrackStreet_WADoT_5min_2004"
115.715278,-32.528611,"MandurahFishermansJetty_WADoT_5min_2004"
115.713889,-32.592222,"PeelInlet_WADoT_5min_2004"
115.629722,-32.601389,"CapeBouvard_WADoT_5min_2004"
113.65103,-24.89875,"Canarvon_WADoT_5min_2004"
115.643056,-32.609444,"Caddup_WADoT_5min_2004"
115.676141,-32.68353,"Harvey_WADoT_5min_2004"
115.641065,-33.309671,"Bunbury_WADoT_5min_2004"
115.65967834,-33.32290673,"BunburyInner_WADoT_5min_2004"
115.39472867,-33.63057753,"BusseltonPortGeographe_WADoT_5min_2004"
115.327222,-31.014444,"Lancelin_WADoT_5min_2004"
115.042778,-30.287222,"JurianBay_WADoT_5min_2004"
114.602147,-28.775919,"Geraldton_WADoT_5min_2004"
114.602147,-28.775919,"GeraldtonAlternate_WADoT_5min_2004"
96.8916666666667,-12.1166666666667,"CocosIsland_BOM_1min_2004"
96.8919,-12.1168,"CocosIsland_6min_BOM"
151.176086,-23.788469,"GladstoneFishermansLandingWharf_10min_MSQ"
151.309419,-23.853469,"SouthTreesStormSurge_10min_MSQ"
151.25554,-23.83172,"GladstoneAucklandPoint_10min_MSQ"
150.8,-23.1667,"ROSSLYN_BAY_10min_MSQ"
148.67775267,-20.60513567,"LAGUNA_QUAYS_STORM_SURGE_10min_MSQ"
150.86250833,-23.584129,"PORT_ALMA_STORM_SURGE_10min_MSQ"
152.401086,-24.76180233,"BURNETT_HEADS_STORM_SURGE_10min_MSQ"
152.38333333,-24.76666667,"BUNDABERG_PORT_STORM_SURGE_10min_MSQ"
152.91666667,-25.3,"URANGAN_STORM_SURGE_10min_MSQ"
149.3,-21.26666667,"HAY_POINT_STORM_SURGE_10min_MSQ"
149.30241667,-21.28943333,"HALF_TIDE_TUG_HARBOUR_10min_MSQ"
148.25,-20.01666667,"BOWEN_STORM_SURGE_10min_MSQ"
149.41388333,-21.24711667,"HAY_POINT_OFFSHORE_PORT_BEACON_2_10min_MSQ"
149.22746667,-21.10283333,"MACKAY_STORM_TIDE_1min_MSQ"
186.98,-33.010555,"DART_54401"
153.53722,-14.7147222,"DART_55023"
191.615,-23.11,"DART_51426"
158.4527777,-15.6641666,"DART_55012"
161.84111,-44.897778,"DART_55042"
160.256104,-46.829723,"DART_55015"
152.1189,30.5525,"DART_21413_highres"
178.27,48.942,"DART_21414_highres"
171.8369,50.1683,"DART_21415_highres"
163.4906,48.0456,"DART_21416_highres"
148.6945,38.7066,"DART_21418_highres"
155.735,44.4547,"DART_21419_highres"
269.3142,4.9242,"DART_32411_highres"
273.6081,-17.9719,"DART_32412_highres"
266.5011,-7.4003,"DART_32413_highres"
292.6744,23.4964,"DART_41420_highres"
296.09389,23.39917,"DART_41421_highres"
287.5316,32.9283,"DART_41424_highres"
291.76383,15.25553,"DART_42407_highres"
273.2032,25.4099,"DART_42408_highres"
274.209,26.6511,"DART_42409_highres"
274.3286,27.4011,"DART_42429_highres"
253.00584,16.01417,"DART_43412_highres"
259.91528,10.83972,"DART_43413_highres"
310.0143,37.55095,"DART_44401_highres"
289.3469,39.2964,"DART_44402_highres"
195.99472,51.06833,"DART_46402_highres"
203.0744,52.6464,"DART_46403_highres"
231.224,45.8596,"DART_46404_highres"
229.47,42.54,"DART_46405_highres"
231.18858,42.6655,"DART_46407_highres"
190.14694,49.62444,"DART_46408_highres"
211.50056,55.30056,"DART_46409_highres"
216.2008,57.6353,"DART_46410_highres"
232.98943,39.32867,"DART_46411_highres"
239.44306,32.45528,"DART_46412_highres"
185.7958,48.2964,"DART_46413_highres"
230.37306,48.76833,"DART_46419_highres"
234.9833,-8.489,"DART_51406_highres"
203.4739,19.6269,"DART_51407_highres"
183.7578,-9.5136,"DART_51425_highres"
191.89694,-22.99111,"DART_51426_highres"
155.7571,19.2564,"DART_52401_highres"
154.1114,11.8822,"DART_52402_highres"
145.59889,4.04694,"DART_52403_highres"
132.3097,20.9464,"DART_52404_highres"
132.33411,12.8815,"DART_52405_highres"
164.9761,-5.3061,"DART_52406_highres"
187.0139,-33.0033,"DART_54401_highres"
160.471,-46.931,"DART_55015_highres"
NA,NA,"NOTHING"
