"llx","lly","urx","ury","min_elev_coarse_dem","max_elev_coarse_dem","coarsen","reduce_theta"
114.571428571429,-28.8095238095238,114.619047619048,-28.7619047619048,-12,58,0,0
114.619047619048,-28.8095238095238,114.666666666667,-28.7619047619048,-1,58,0,0
114.571428571429,-28.7619047619048,114.619047619048,-28.7142857142857,-9,15,0,0
114.619047619048,-28.7619047619048,114.666666666667,-28.7142857142857,-1,143,0,0
114.095238095238,-27.7619047619048,114.142857142857,-27.7142857142857,-41,72,0,0
114.142857142857,-27.7619047619048,114.190476190476,-27.7142857142857,-25,120,0,0
114.142857142857,-27.7142857142857,114.190476190476,-27.6666666666667,-25,95,0,0
114.142857142857,-27.6666666666667,114.190476190476,-27.6190476190476,-17,149,0,0
114.190476190476,-27.6666666666667,114.238095238095,-27.6190476190476,15,165,0,0
113.142857142857,-26.1904761904762,113.190476190476,-26.1428571428571,-79,29,0,0
113.190476190476,-26.1904761904762,113.238095238095,-26.1428571428571,-14,43,0,0
113.142857142857,-26.1428571428571,113.190476190476,-26.0952380952381,-58,32,0,0
113.190476190476,-26.1428571428571,113.238095238095,-26.0952380952381,-5,33,0,0
113.571428571429,-24.952380952381,113.619047619048,-24.9047619047619,-9,-1,0,1
113.619047619048,-24.952380952381,113.666666666667,-24.9047619047619,-5,1,0,1
113.666666666667,-24.952380952381,113.714285714286,-24.9047619047619,0,37,0,1
113.571428571429,-24.9047619047619,113.619047619048,-24.8571428571429,-8,0,0,1
113.619047619048,-24.9047619047619,113.666666666667,-24.8571428571429,-3,3,0,1
113.666666666667,-24.9047619047619,113.714285714286,-24.8571428571429,0,37,0,1
113.571428571429,-24.8571428571429,113.619047619048,-24.8095238095238,-5,1,0,1
113.619047619048,-24.8571428571429,113.666666666667,-24.8095238095238,-1,5,0,1
113.666666666667,-24.8571428571429,113.714285714286,-24.8095238095238,1,12,0,1
113.714285714286,-23.1904761904762,113.761904761905,-23.1428571428571,-61,0,0,0
113.761904761905,-23.1904761904762,113.809523809524,-23.1428571428571,-4,25,0,0
113.714285714286,-23.1428571428571,113.761904761905,-23.0952380952381,-62,0,0,0
113.761904761905,-23.1428571428571,113.809523809524,-23.0952380952381,-9,24,0,0
113.52380952381,-25.952380952381,113.571428571429,-25.9047619047619,-1,41,0,0
114.380952380952,-28.4285714285714,114.428571428571,-28.3809523809524,-32,1,0,0
114.428571428571,-28.4285714285714,114.47619047619,-28.3809523809524,-28,97,0,0
114.380952380952,-28.3809523809524,114.428571428571,-28.3333333333333,-27,115,0,0
114.428571428571,-28.3809523809524,114.47619047619,-28.3333333333333,-4,143,0,0
114.238095238095,-28.2380952380952,114.285714285714,-28.1904761904762,-19,51,0,0
114.238095238095,-28.1904761904762,114.285714285714,-28.1428571428571,-1,101,0,0
113.714285714286,-25.8095238095238,113.761904761905,-25.7619047619048,-4,25,0,0
