"llx","lly","urx","ury","min_elev_coarse_dem","max_elev_coarse_dem","coarsen","reduce_theta"
96.8,-12.2,97,-12,-3288,5,0,0
105.6,-10.6,105.8,-10.4,-4719,302,0,0
