"llx","lly","urx","ury","min_elev_coarse_dem","max_elev_coarse_dem","coarsen","reduce_theta"
114,-29.3333333333333,114.333333333333,-29,-625,0,1,0
114.333333333333,-29.3333333333333,114.666666666667,-29,-67,52,1,0
114.666666666667,-29.3333333333333,115,-29,-50,248,1,0
113.666666666667,-29,114,-28.6666666666667,-1099,0,1,0
114,-29,114.333333333333,-28.6666666666667,-71,0,0,0
114.333333333333,-29,114.666666666667,-28.6666666666667,-62,210,0,0
114.666666666667,-29,115,-28.6666666666667,-43,260,0,0
113.666666666667,-28.6666666666667,114,-28.3333333333333,-154,0,1,0
114,-28.6666666666667,114.333333333333,-28.3333333333333,-46,120,0,0
114.333333333333,-28.6666666666667,114.666666666667,-28.3333333333333,-43,295,0,0
113.333333333333,-28.3333333333333,113.666666666667,-28,-689,0,1,0
113.666666666667,-28.3333333333333,114,-28,-55,0,0,0
114,-28.3333333333333,114.333333333333,-28,-45,232,0,0
114.333333333333,-28.3333333333333,114.666666666667,-28,-34,295,0,0
113.333333333333,-28,113.666666666667,-27.6666666666667,-196,-31,1,0
113.666666666667,-28,114,-27.6666666666667,-65,-33,0,0
114,-28,114.333333333333,-27.6666666666667,-52,239,0,0
113.333333333333,-27.6666666666667,113.666666666667,-27.3333333333333,-131,-57,1,0
113.666666666667,-27.6666666666667,114,-27.3333333333333,-77,196,0,0
114,-27.6666666666667,114.333333333333,-27.3333333333333,-56,236,0,0
113.333333333333,-27.3333333333333,113.666666666667,-27,-104,-67,1,0
113.666666666667,-27.3333333333333,114,-27,-84,217,0,0
114,-27.3333333333333,114.333333333333,-27,-54,209,0,0
113,-27,113.333333333333,-26.6666666666667,-187,-49,1,0
113.333333333333,-27,113.666666666667,-26.6666666666667,-103,167,0,0
113.666666666667,-27,114,-26.6666666666667,-86,271,0,0
113,-26.6666666666667,113.333333333333,-26.3333333333333,-155,93,1,0
113.333333333333,-26.6666666666667,113.666666666667,-26.3333333333333,-98,167,0,0
113.666666666667,-26.6666666666667,114,-26.3333333333333,-37,112,0,0
114,-26.6666666666667,114.333333333333,-26.3333333333333,-7,131,0,0
112.666666666667,-26.3333333333333,113,-26,-162,-6,1,0
113,-26.3333333333333,113.333333333333,-26,-134,160,0,0
113.333333333333,-26.3333333333333,113.666666666667,-26,-80,86,0,0
113.666666666667,-26.3333333333333,114,-26,-10,59,0,0
114,-26.3333333333333,114.333333333333,-26,-8,68,0,0
112.666666666667,-26,113,-25.6666666666667,-143,104,1,0
113,-26,113.333333333333,-25.6666666666667,-114,160,0,0
113.333333333333,-26,113.666666666667,-25.6666666666667,-16,62,0,0
113.666666666667,-26,114,-25.6666666666667,-11,57,0,0
114,-26,114.333333333333,-25.6666666666667,-11,64,0,0
112.666666666667,-25.6666666666667,113,-25.3333333333333,-137,95,1,0
113,-25.6666666666667,113.333333333333,-25.3333333333333,-83,95,0,0
113.333333333333,-25.6666666666667,113.666666666667,-25.3333333333333,-19,61,0,0
113.666666666667,-25.6666666666667,114,-25.3333333333333,-11,36,0,0
114,-25.6666666666667,114.333333333333,-25.3333333333333,-9,53,0,0
112.666666666667,-25.3333333333333,113,-25,-123,24,1,0
113,-25.3333333333333,113.333333333333,-25,-84,33,0,0
113.333333333333,-25.3333333333333,113.666666666667,-25,-27,19,0,0
113.666666666667,-25.3333333333333,114,-25,-9,38,0,0
112.666666666667,-25,113,-24.6666666666667,-115,-61,1,0
113,-25,113.333333333333,-24.6666666666667,-81,46,0,0
113.333333333333,-25,113.666666666667,-24.6666666666667,-47,37,0,0
113.666666666667,-25,114,-24.6666666666667,-9,44,0,0
113,-24.6666666666667,113.333333333333,-24.3333333333333,-82,21,1,0
113.333333333333,-24.6666666666667,113.666666666667,-24.3333333333333,-57,84,0,0
113.666666666667,-24.6666666666667,114,-24.3333333333333,0,39,0,0
113,-24.3333333333333,113.333333333333,-24,-139,84,1,0
113.333333333333,-24.3333333333333,113.666666666667,-24,-59,106,0,0
113,-24,113.333333333333,-23.6666666666667,-292,-37,1,0
113.333333333333,-24,113.666666666667,-23.6666666666667,-115,106,0,0
113.333333333333,-23.6666666666667,113.666666666667,-23.3333333333333,-196,61,0,0
113.666666666667,-23.6666666666667,114,-23.3333333333333,-66,99,0,0
113.333333333333,-23.3333333333333,113.666666666667,-23,-497,-4,1,0
113.666666666667,-23.3333333333333,114,-23,-91,191,0,0
113.333333333333,-23,113.666666666667,-22.6666666666667,-961,96,1,0
113.666666666667,-23,114,-22.6666666666667,-91,175,0,0
