"time","stage"
59.9999976,-0.726908911
120.0000024,-0.725813206
180,-0.724980701
239.999994,-0.723820583
300.0000024,-0.72173264
360,-0.719031202
420.0000048,-0.716139286
480.0000024,-0.713623138
539.9999964,-0.712074087
600.0000048,-0.711065617
660.0000024,-0.709986501
719.9999964,-0.708316207
780.0000048,-0.705485861
839.9999988,-0.701707051
899.9999964,-0.697445028
960.0000048,-0.692858356
1019.9999988,-0.688168251
1079.9999964,-0.683520778
1140.0000012,-0.67894491
1199.9999988,-0.674715089
1259.9999964,-0.671096457
1320.0000012,-0.667969767
1379.9999988,-0.665143633
1440.0000036,-0.662430752
1500.0000012,-0.65961258
1559.9999988,-0.656677053
1620.0000036,-0.6536919
1680.0000012,-0.65065589
1739.9999952,-0.647561181
1800.0000036,-0.644457014
1860.0000012,-0.641416857
1919.9999952,-0.638376431
1980.0000036,-0.635311205
2039.9999976,-0.632319003
2099.9999952,-0.629432199
2160.0000036,-0.626966419
2219.9999976,-0.625213129
2280.000006,-0.623864013
2340,-0.622565532
2399.9999976,-0.620830506
2460.000006,-0.618151844
2520,-0.614777377
2579.9999976,-0.611138006
2640.0000024,-0.607543172
2700,-0.604334472
2759.9999976,-0.601525331
2820.0000024,-0.598991426
2880,-0.596685757
2939.999994,-0.594568515
3000.0000024,-0.592559241
3060,-0.590524881
3120.0000048,-0.588568157
3180.0000024,-0.586739876
3239.9999964,-0.584754372
3300.0000048,-0.582393706
3360.0000024,-0.579105727
3419.9999964,-0.574359996
3480.0000048,-0.568580867
3539.9999988,-0.56233309
3599.9999964,-0.556218276
3660.0000048,-0.550916765
3719.9999988,-0.546236494
3779.9999964,-0.541743991
3840.0000012,-0.53737954
3899.9999988,-0.532978374
3959.9999964,-0.528543373
4020.0000012,-0.52425548
4079.9999988,-0.519715692
4140.0000036,-0.514584027
4200.0000012,-0.509190292
4259.9999988,-0.503819973
4320.0000036,-0.499242384
4380.0000012,-0.496207081
4439.9999952,-0.494150136
4500.0000036,-0.492335383
4560.0000012,-0.48984258
4619.9999952,-0.485717254
4680.0000036,-0.480329519
4739.9999976,-0.474341048
4799.9999952,-0.468343384
4860.0000036,-0.462977251
