"lon","lat"
115.175314000306,-33.6404794349873
115.175415894577,-33.6404958899626
115.175415894577,-33.6404958899626
115.175781701337,-33.6405541152601
115.176162697304,-33.6406167707431
115.176376611984,-33.6406724645059
115.176631031218,-33.6407699285907
115.176898108126,-33.6407927124027
115.177353784367,-33.6408154962147
115.177485424169,-33.6408256223534
115.177642379319,-33.6408585323041
115.177887938182,-33.6409927036416
115.178303109868,-33.641035739731
115.178561326404,-33.6409446044829
115.178806885267,-33.6409268837402
115.179103074824,-33.641028145127
115.179262561508,-33.6411775056726
115.179530904183,-33.6412078840886
115.179649886312,-33.6412787670594
115.179875192898,-33.6414357222089
115.18020176087,-33.6414458483476
115.180566301863,-33.6415319205264
115.181209311669,-33.6417445694386
115.181642204098,-33.6418508938948
115.181996618951,-33.6419217768655
115.18223964628,-33.641995191371
115.18261937648,-33.6421648041939
115.182882656086,-33.6423116332047
115.18314213839,-33.6424749171909
115.18331301698,-33.6425546605331
115.183794008567,-33.6426711111279
115.184318036244,-33.642785030188
115.184564860874,-33.6427951563267
115.184861683314,-33.642775536933
115.185317359555,-33.6428185730224
115.185729999706,-33.6429097082705
115.186054036144,-33.6430388165387
115.186292000403,-33.6431248887175
115.186452752854,-33.6431021049054
115.186724892831,-33.6430881814647
115.186999564343,-33.6431299517868
115.187224870929,-33.6432717177283
115.187348916127,-33.6432641231243
115.187657763357,-33.6432793123323
115.187829907715,-33.6433653845111
115.188075466578,-33.6435324657993
115.188495701333,-33.6437096732262
115.188857710791,-33.6438716914451
115.189196936436,-33.6439628266932
115.189713369509,-33.6440818088227
115.190042469016,-33.6442311693683
115.189429837626,-33.6440969980308
115.188700755641,-33.6439324482772
115.188331151579,-33.6438337184251
115.188040025092,-33.6437020786222
115.187553970436,-33.6434767720366
115.187204618651,-33.6433704475805
115.187035005828,-33.6433704475805
115.186807167708,-33.6433628529765
115.186450221319,-33.6433274114911
115.185999608148,-33.6432982988424
115.185612283344,-33.6432603258223
115.185341409134,-33.643232478941
115.185019904231,-33.6432299474063
115.184637642496,-33.643224884337
115.184430056653,-33.6431843797822
115.184194623929,-33.6431489382968
115.184019948036,-33.6430679291874
115.183845272144,-33.64297173087
115.183544019518,-33.6427919919084
115.183356685953,-33.6427312350763
115.183078217139,-33.6426451628975
115.182746586097,-33.6425742799268
115.182728865355,-33.6424704870053
115.182690892334,-33.6423768202225
115.182354198223,-33.6421894866569
115.181806120967,-33.6420565810867
115.181511197178,-33.641989495418
115.181218804924,-33.6419236755165
115.18078844403,-33.6418502610111
115.180540353632,-33.6417970987831
115.180285934398,-33.6417224185103
115.180020123258,-33.6416376120988
115.179755577885,-33.6415439453161
115.179561915482,-33.6414540758353
115.179420149541,-33.6413933190032
115.179255599787,-33.6413439540771
115.178903716468,-33.641268008037
115.178630310724,-33.6412275034823
115.178318931959,-33.6411869989276
115.178221467875,-33.6412211746456
115.178146787602,-33.6413085125917
115.177992363987,-33.6414034451419
115.177848066511,-33.6414591389046
115.177848066511,-33.6414287604886
115.177878444927,-33.6413148414284
115.17785312958,-33.6412211746456
115.177751868193,-33.6411528232095
115.177622759925,-33.6411047240508
115.177407579478,-33.6410920663775
115.177230372051,-33.6410591564267
115.176921524821,-33.64099586806
115.1766278668,-33.6409022012772
115.17650888467,-33.6408566336532
115.176027893083,-33.6407148677116
115.17554943303,-33.6405756333048
115.175314000306,-33.6404794349873
