"llx","lly","urx","ury","min_elev_coarse_dem","max_elev_coarse_dem","coarsen"
113,-30,114,-29,-5167,0,0
114,-30,115,-29,-4668,269,0
115,-30,116,-29,-52,418,0
112,-29,113,-28,-5373,-186,0
113,-29,114,-28,-4228,191,0
115,-29,116,-28,-19,401,0
112,-28,113,-27,-4817,-49,0
114,-28,115,-27,-76,302,0
115,-28,116,-27,157,445,0
111,-27,112,-26,-4774,-446,0
112,-27,113,-26,-1688,160,0
114,-27,115,-26,-76,274,0
111,-26,112,-25,-3228,-193,0
112,-26,113,-25,-924,160,0
114,-26,115,-25,-11,360,0
111,-25,112,-24,-4317,-211,0
112,-25,113,-24,-1465,46,0
114,-25,115,-24,0,363,0
112,-24,113,-23,-4859,-48,0
113,-24,114,-23,-1127,191,0
114,-24,115,-23,-39,322,0
113,-23,114,-22,-3718,308,0
114,-23,115,-22,-700,308,0
115,-23,116,-22,1,521,0
113,-22,114,-21,-4071,308,0
114,-22,115,-21,-1136,308,0
115,-22,116,-21,-159,348,0
116,-22,117,-21,-22,847,0
117,-22,118,-21,0,937,0
118,-22,119,-21,20,890,0
113,-21,114,-20,-1637,-407,0
114,-21,115,-20,-1456,-13,0
115,-21,116,-20,-1367,91,0
118,-21,119,-20,-52,366,0
114,-20,115,-19,-1764,-81,0
115,-20,116,-19,-1764,-26,0
118,-20,119,-19,-165,17,0
115,-19,116,-18,-2599,-271,0
116,-19,117,-18,-2266,-128,0
117,-19,118,-18,-2399,-82,0
118,-19,119,-18,-1709,-68,0
118,-18,119,-17,-3932,-10,0
115,-33,116,-32,-2711,458,0
116,-33,117,-32,0,517,0
115,-32,116,-31,-2537,367,0
116,-32,117,-31,0,465,0
