"x","y"
114.587709518204,-28.7723456632362
114.587832000676,-28.7724354837155
114.587750345695,-28.7735949844492
114.587848331672,-28.7747054921942
114.587309408796,-28.7753260700517
114.586002929096,-28.7764120813023
114.585415013231,-28.7758649929279
114.585545661201,-28.7755138765086
114.585864115628,-28.7751954220817
114.586198901051,-28.7746401682092
114.586411204002,-28.7742073968086
114.586550017471,-28.7736603084342
114.586803147912,-28.7733010265168
114.587080774849,-28.7728845861124
114.587709518204,-28.7723456632362
