"x","y"
113.503853959112,-25.5472025378928
113.510908949492,-25.5681715370772
113.510908949492,-25.5681715370772
113.522144674912,-25.6048182926613
113.525672170102,-25.6107627752961
113.531877948677,-25.616445961991
113.533184428377,-25.6224557686108
113.533445724317,-25.6305559427506
113.560097910196,-25.6496305463701
113.577866034115,-25.6783730997693
113.600337484955,-25.7337678390479
113.632999477454,-25.7478778198075
113.651943433104,-25.7495762434175
113.664812258148,-25.7608119688372
113.665857441908,-25.7717863983169
113.686238525228,-25.7900771141164
113.705313128847,-25.8143776365358
113.713935894867,-25.8407685264751
113.723603844647,-25.9262122988529
113.728045875627,-25.9471159740523
113.728045875627,-25.9633163223319
113.719684405547,-25.9826522218914
113.696429066887,-26.03543400177
113.60419160007,-26.0866480060087
113.58119755735,-26.0495439825297
113.58485570051,-26.0108721834107
113.571007015691,-25.9510354131522
113.554284075531,-25.9293478501328
113.529460961232,-25.9179814767431
113.533380400332,-25.9094893586933
113.543570941991,-25.9121023180932
113.550364636431,-25.8987762251536
113.530898088902,-25.8858420761239
113.521099491152,-25.8556623950547
113.509863765732,-25.844165373695
113.496798968733,-25.8321457604553
113.487261666923,-25.8165986520257
113.490266570233,-25.7715251023769
113.483995467673,-25.7443503246176
113.490658514143,-25.7169142509183
113.476940477293,-25.6987541830888
113.469101599093,-25.6809860591693
113.458780409464,-25.6748456045794
113.447805979984,-25.6889555853391
113.444801076674,-25.7046333417386
113.445062372614,-25.7156077712184
113.444017188854,-25.7246224811481
113.447544684044,-25.7350743187479
113.445976908404,-25.7412147733377
113.444801076674,-25.7537569784574
113.439313861934,-25.7534956825174
113.434937154939,-25.7392550537877
113.426510360874,-25.7322000634079
113.422590921775,-25.7110350922685
113.427686192604,-25.6672680223196
113.435002478924,-25.6373496371904
113.453946434574,-25.6045569967213
113.468840303153,-25.5789499946019
113.481382508273,-25.5538655843626
113.503853959112,-25.5472025378928
