llx,lly,urx,ury,min_elev_coarse_dem,max_elev_coarse_dem
149.833333333333,-37.6666666666667,150,-37.5,-115,304
150,-37.6666666666667,150.166666666667,-37.5,-260,17
149.833333333333,-37.5,150,-37.3333333333333,-85,531
150,-37.5,150.166666666667,-37.3333333333333,-141,70
149.833333333333,-37.3333333333333,150,-37.1666666666667,-69,412
150,-37.3333333333333,150.166666666667,-37.1666666666667,-113,152
149.833333333333,-37.1666666666667,150,-37,-70,354
150,-37.1666666666667,150.166666666667,-37,-111,165
149.833333333333,-37,150,-36.8333333333333,-70,395
150,-37,150.166666666667,-36.8333333333333,-121,-22
149.833333333333,-36.8333333333333,150,-36.6666666666667,-59,298
150,-36.8333333333333,150.166666666667,-36.6666666666667,-124,147
149.833333333333,-36.6666666666667,150,-36.5,-35,649
150,-36.6666666666667,150.166666666667,-36.5,-124,175
150,-36.5,150.166666666667,-36.3333333333333,-114,677
150.166666666667,-36.5,150.333333333333,-36.3333333333333,-671,-8
150,-36.3333333333333,150.166666666667,-36.1666666666667,-79,677
150.166666666667,-36.3333333333333,150.333333333333,-36.1666666666667,-619,43
150,-36.1666666666667,150.166666666667,-36,-79,210
150.166666666667,-36.1666666666667,150.333333333333,-36,-127,44
150,-36,150.166666666667,-35.8333333333333,-55,422
150.166666666667,-36,150.333333333333,-35.8333333333333,-123,58
150,-35.8333333333333,150.166666666667,-35.6666666666667,-1,567
150.166666666667,-35.8333333333333,150.333333333333,-35.6666666666667,-121,128
150.333333333333,-35.8333333333333,150.5,-35.6666666666667,-192,27
150,-35.6666666666667,150.166666666667,-35.5,6,1008
150.166666666667,-35.6666666666667,150.333333333333,-35.5,-68,265
150.333333333333,-35.6666666666667,150.5,-35.5,-136,265
150.333333333333,-35.5,150.5,-35.3333333333333,-118,369
150.5,-35.5,150.666666666667,-35.3333333333333,-149,58
150.333333333333,-35.3333333333333,150.5,-35.1666666666667,-53,736
150.5,-35.3333333333333,150.666666666667,-35.1666666666667,-127,135
150.666666666667,-35.3333333333333,150.833333333333,-35.1666666666667,-219,128
150.5,-35.1666666666667,150.666666666667,-35,-29,274
150.666666666667,-35.1666666666667,150.833333333333,-35,-134,128
150.833333333333,-35.1666666666667,151,-35,-637,68
150.5,-35,150.666666666667,-34.8333333333333,-1,408
150.666666666667,-35,150.833333333333,-34.8333333333333,-52,147
150.833333333333,-35,151,-34.8333333333333,-138,19
150.5,-34.8333333333333,150.666666666667,-34.6666666666667,1,707
150.666666666667,-34.8333333333333,150.833333333333,-34.6666666666667,-52,650
150.833333333333,-34.8333333333333,151,-34.6666666666667,-129,317
150.666666666667,-34.6666666666667,150.833333333333,-34.5,-1,723
150.833333333333,-34.6666666666667,151,-34.5,-126,182
151,-34.6666666666667,151.166666666667,-34.5,-266,-46
150.666666666667,-34.5,150.833333333333,-34.3333333333333,2,600
150.833333333333,-34.5,151,-34.3333333333333,-108,497
151,-34.5,151.166666666667,-34.3333333333333,-164,-25
150.833333333333,-34.3333333333333,151,-34.1666666666667,-54,437
151,-34.3333333333333,151.166666666667,-34.1666666666667,-136,338
150.833333333333,-34.1666666666667,151,-34,8,358
151,-34.1666666666667,151.166666666667,-34,-113,274
151.166666666667,-34.1666666666667,151.333333333333,-34,-144,76
151.333333333333,-34.1666666666667,151.5,-34,-511,-69
150.833333333333,-34,151,-33.8333333333333,8,129
151,-34,151.166666666667,-33.8333333333333,0,100
151.166666666667,-34,151.333333333333,-33.8333333333333,-133,90
151.333333333333,-34,151.5,-33.8333333333333,-166,0
150.833333333333,-33.8333333333333,151,-33.6666666666667,7,205
151,-33.8333333333333,151.166666666667,-33.6666666666667,7,205
151.166666666667,-33.8333333333333,151.333333333333,-33.6666666666667,-73,195
151.333333333333,-33.8333333333333,151.5,-33.6666666666667,-131,119
151,-33.6666666666667,151.166666666667,-33.5,0,254
151.166666666667,-33.6666666666667,151.333333333333,-33.5,-26,230
151.333333333333,-33.6666666666667,151.5,-33.5,-122,177
151.5,-33.6666666666667,151.666666666667,-33.5,-141,-15
150.833333333333,-33.5,151,-33.3333333333333,7,265
151,-33.5,151.166666666667,-33.3333333333333,0,280
151.166666666667,-33.5,151.333333333333,-33.3333333333333,0,301
151.333333333333,-33.5,151.5,-33.3333333333333,-64,301
151.5,-33.5,151.666666666667,-33.3333333333333,-133,60
151.666666666667,-33.5,151.833333333333,-33.3333333333333,-152,-53
151.333333333333,-33.3333333333333,151.5,-33.1666666666667,-19,268
151.5,-33.3333333333333,151.666666666667,-33.1666666666667,-74,70
151.666666666667,-33.3333333333333,151.833333333333,-33.1666666666667,-134,60
151.333333333333,-33.1666666666667,151.5,-33,2,460
151.5,-33.1666666666667,151.666666666667,-33,-45,159
151.666666666667,-33.1666666666667,151.833333333333,-33,-124,99
151.833333333333,-33.1666666666667,152,-33,-135,-34
151.5,-33,151.666666666667,-32.8333333333333,1,424
151.666666666667,-33,151.833333333333,-32.8333333333333,-90,99
151.833333333333,-33,152,-32.8333333333333,-124,38
152,-33,152.166666666667,-32.8333333333333,-135,-2
152.166666666667,-33,152.333333333333,-32.8333333333333,-146,-59
151.5,-32.8333333333333,151.666666666667,-32.6666666666667,4,155
151.666666666667,-32.8333333333333,151.833333333333,-32.6666666666667,-3,163
151.833333333333,-32.8333333333333,152,-32.6666666666667,-54,93
152,-32.8333333333333,152.166666666667,-32.6666666666667,-121,93
152.166666666667,-32.8333333333333,152.333333333333,-32.6666666666667,-137,84
152.333333333333,-32.8333333333333,152.5,-32.6666666666667,-142,-34
151.833333333333,-32.6666666666667,152,-32.5,0,255
152,-32.6666666666667,152.166666666667,-32.5,-4,231
152.166666666667,-32.6666666666667,152.333333333333,-32.5,-102,231
152.333333333333,-32.6666666666667,152.5,-32.5,-117,33
152.5,-32.6666666666667,152.666666666667,-32.5,-140,-25
152.166666666667,-32.5,152.333333333333,-32.3333333333333,-21,435
152.333333333333,-32.5,152.5,-32.3333333333333,-77,246
152.5,-32.5,152.666666666667,-32.3333333333333,-116,164
152.166666666667,-32.3333333333333,152.333333333333,-32.1666666666667,4,612
152.333333333333,-32.3333333333333,152.5,-32.1666666666667,-17,266
152.5,-32.3333333333333,152.666666666667,-32.1666666666667,-95,164
152.666666666667,-32.3333333333333,152.833333333333,-32.1666666666667,-119,-58
152.166666666667,-32.1666666666667,152.333333333333,-32,4,405
152.333333333333,-32.1666666666667,152.5,-32,-17,370
152.5,-32.1666666666667,152.666666666667,-32,-82,76
152.666666666667,-32.1666666666667,152.833333333333,-32,-115,-23
152.333333333333,-32,152.5,-31.8333333333333,2,370
152.5,-32,152.666666666667,-31.8333333333333,-47,78
152.666666666667,-32,152.833333333333,-31.8333333333333,-107,26
152.833333333333,-32,153,-31.8333333333333,-144,-27
152.333333333333,-31.8333333333333,152.5,-31.6666666666667,6,714
152.5,-31.8333333333333,152.666666666667,-31.6666666666667,0,630
152.666666666667,-31.8333333333333,152.833333333333,-31.6666666666667,-80,428
152.833333333333,-31.8333333333333,153,-31.6666666666667,-105,23
153,-31.8333333333333,153.166666666667,-31.6666666666667,-686,-76
152.666666666667,-31.6666666666667,152.833333333333,-31.5,-33,428
152.833333333333,-31.6666666666667,153,-31.5,-100,114
153,-31.6666666666667,153.166666666667,-31.5,-322,-43
