llx,lly,urx,ury,min_elev_coarse_dem,max_elev_coarse_dem
152,-22,152.5,-20.5,-495,4
152.5,-22,153,-20.5,-1343,3
153,-22,153.5,-20.5,-2338,3
153.5,-22,154,-20.5,-3101,-7
154,-22,154.5,-20.5,-3467,-7
146,-20.5,146.5,-19,-36,995
146.5,-20.5,147,-19,-53,1121
147,-20.5,147.5,-19,-75,1121
147.5,-20.5,148,-19,-327,772
148,-20.5,148.5,-19,-697,825
148.5,-20.5,149,-19,-916,825
149,-20.5,149.5,-19,-1020,511
149.5,-20.5,150,-19,-1200,43
150,-20.5,150.5,-19,-1449,11
150.5,-20.5,151,-19,-1535,11
151,-20.5,151.5,-19,-1693,2
151.5,-20.5,152,-19,-1757,-18
152,-20.5,152.5,-19,-2095,-18
152.5,-20.5,153,-19,-2325,-18
153,-20.5,153.5,-19,-2629,-331
145,-19,145.5,-17.5,10,1407
145.5,-19,146,-17.5,-44,1542
146,-19,146.5,-17.5,-1178,1542
146.5,-19,147,-17.5,-1512,995
147,-19,147.5,-17.5,-1516,395
147.5,-19,148,-17.5,-1470,2
148,-19,148.5,-17.5,-1348,3
148.5,-19,149,-17.5,-1271,3
149,-19,149.5,-17.5,-1205,0
149.5,-19,150,-17.5,-1380,-3
150,-19,150.5,-17.5,-1499,-3
150.5,-19,151,-17.5,-1654,-4
151,-19,151.5,-17.5,-1891,-3
151.5,-19,152,-17.5,-2158,-3
152,-19,152.5,-17.5,-2515,-6
152.5,-19,153,-17.5,-2606,-18
153,-19,153.5,-17.5,-2909,-934
153.5,-19,154,-17.5,-3007,-1718
144.5,-17.5,145,-16,0,1296
145,-17.5,145.5,-16,-477,1542
145.5,-17.5,146,-16,-2063,1542
146,-17.5,146.5,-16,-2186,1542
146.5,-17.5,147,-16,-2166,3
147,-17.5,147.5,-16,-1938,0
147.5,-17.5,148,-16,-1643,1
148,-17.5,148.5,-16,-1390,3
148.5,-17.5,149,-16,-1214,3
149,-17.5,149.5,-16,-1071,0
149.5,-17.5,150,-16,-1118,38
150,-17.5,150.5,-16,-1300,38
150.5,-17.5,151,-16,-1414,38
151,-17.5,151.5,-16,-1567,-3
151.5,-17.5,152,-16,-2114,-3
152,-17.5,152.5,-16,-4307,-6
152.5,-17.5,153,-16,-4555,-82
153,-17.5,153.5,-16,-4643,-1362
153.5,-17.5,154,-16,-4636,-1677
144,-16,144.5,-14.5,-34,899
144.5,-16,145,-14.5,-1634,1294
145,-16,145.5,-14.5,-2782,1294
145.5,-16,146,-14.5,-2862,1194
146,-16,146.5,-14.5,-2856,3
146.5,-16,147,-14.5,-2608,2
147,-16,147.5,-14.5,-2250,2
147.5,-16,148,-14.5,-2269,2
148,-16,148.5,-14.5,-3736,-837
148.5,-16,149,-14.5,-4357,-5
149,-16,149.5,-14.5,-4541,-2
149.5,-16,150,-14.5,-4714,0
150,-16,150.5,-14.5,-4823,0
150.5,-16,151,-14.5,-4943,-767
151,-16,151.5,-14.5,-4943,-805
151.5,-16,152,-14.5,-4908,-805
152,-16,152.5,-14.5,-4791,-901
158.5,-32.5,159,-31,-4480,165
159,-32.5,159.5,-31,-4480,165
159.5,-32.5,160,-31,-4480,-2
167.5,-31,168,-29.5,-3766,-17
168,-31,168.5,-29.5,-4213,-51
168.5,-31,169,-29.5,-4213,-246
167.5,-29.5,168,-28,-3510,0
168,-29.5,168.5,-28,-3588,0
168.5,-29.5,169,-28,-3641,-76
158.5,-31,159,-29.5,-4117,84
159,-31,159.5,-29.5,-3866,84
159.5,-31,160,-29.5,-3047,-202
158.5,-29.5,159,-28,-3528,-29
159,-29.5,159.5,-28,-3543,-29
159.5,-29.5,160,-28,-3543,-154
159,-28,159.5,-26.5,-3639,-266
159.5,-28,160,-26.5,-3621,-266
159,-26.5,159.5,-25,-3639,1
159.5,-26.5,160,-25,-3141,1
160,-26.5,160.5,-25,-2538,-6
158.5,-25,159,-23.5,-3146,20
159,-25,159.5,-23.5,-3009,20
159.5,-25,160,-23.5,-2829,20
160,-25,160.5,-23.5,-2675,-28
158.5,-23.5,159,-22,-2735,-27
159,-23.5,159.5,-22,-2735,-1
159.5,-23.5,160,-22,-2633,-1
158,-22,158.5,-20.5,-2714,37
158.5,-22,159,-20.5,-2714,37
159,-22,159.5,-20.5,-2661,37
159.5,-22,160,-20.5,-2703,-1
157.5,-20.5,158,-19,-3732,2
158,-20.5,158.5,-19,-3732,29
158.5,-20.5,159,-19,-3939,267
159,-20.5,159.5,-19,-4083,267
159.5,-20.5,160,-19,-4083,7
158,-19,158.5,-17.5,-3849,8
158.5,-19,159,-17.5,-4354,21
159,-19,159.5,-17.5,-4354,21
