x,Curve1
7.73987,0.02059
7.84484,0.01029
7.89732,0.03088
7.97946,0.14265
8.04564,0.23971
8.1255,0.38235
8.18939,0.525
8.24643,0.67941
8.29435,0.825
8.52025,0.90735
8.72333,0.81765
8.79179,0.63971
8.84427,0.48088
8.88762,0.36765
8.96748,0.36912
9.09755,0.53235
9.24358,0.47647
9.35083,0.41029
9.41244,0.40588
9.51512,0.33824
9.58129,0.34706
9.65659,0.38235
9.79578,0.36471
9.88021,0.3
9.96463,0.23971
10.0559,0.27647
10.15402,0.35882
10.22019,0.44412
10.26583,0.50588
10.3822,0.49412
10.51683,0.53235
10.64233,0.36765
10.68796,0.31029
10.79749,0.25441
10.8842,0.21176
10.97319,0.19706
11.05533,0.19559
11.18083,0.22794
11.25385,0.24706
11.336,0.19853
11.37707,0.18529
11.50257,0.22059
11.55048,0.22794
11.65317,0.18088
11.73987,0.13676
11.87678,0.14265
11.99772,0.15735
12.10724,0.16176
12.22133,0.18235
12.33999,0.16029
12.45864,0.13529
