x,Curve1
7.99856,0.2434
8.17946,0.7702
8.38695,1.0834
8.61173,1.3967
8.95703,0.9254
9.18992,1.7404
9.36075,1.0354
9.41876,0.8368
9.59933,0.7179
9.70931,0.7777
9.79263,0.9169
10.03267,0.3908
10.1992,0.4656
10.39124,1.2705
10.58576,0.8039
10.74897,0.531
10.99858,0.2881
11.12109,0.2783
11.35843,0.6066
11.54685,0.4777
11.73384,0.632
11.99295,0.5281
12.20016,0.3099
12.35098,0.3648
