x,Curve1
7.74025,0.01917
7.78353,0.01915
7.86784,0.01032
7.97701,0.05575
8.06767,0.17601
8.16291,0.28894
8.29662,0.46933
8.39194,0.56171
8.50088,0.6673
8.71259,0.7039
8.99083,0.61431
9.1,0.65974
9.18856,0.73306
9.23625,0.77265
9.2891,0.65087
9.34184,0.55843
9.39915,0.46306
9.44726,0.39116
9.50429,0.3706
9.584,0.37497
9.67295,0.34413
9.74353,0.35437
9.84344,0.43795
9.9051,0.39686
10.01024,0.30293
10.10608,0.25742
10.17213,0.2618
10.26974,0.34978
10.30606,0.38497
10.46556,0.37171
10.5706,0.30272
10.72089,0.31734
10.79631,0.25276
10.88084,0.18672
10.97663,0.15441
11.06543,0.16611
11.15181,0.21449
11.23362,0.26581
11.27678,0.2966
11.38633,0.24081
11.46625,0.1909
11.52324,0.17915
11.60289,0.19819
11.70753,0.23629
11.81914,0.23919
11.90567,0.24649
12.03549,0.25084
12.12449,0.20827
12.23175,0.15688
12.31386,0.13045
12.43001,0.13481
12.49372,0.15532
